SOP_BU_A,SOP_BU_B,SOP_BU_C,Reseller
1,-1,-1,NA
4,-1,-1,0
11,-1,9,0
5,-1,-1,NA
88,3,-1,0
-1,1,-1,NA
395,322,246,0
-1,-1,1,0
-1,-1,6,0
177,41,51,0
160,8,11,0
-1,-1,3,0
8,10,203,0
2260,116,281,NA
-1,21,-1,0
133,30,3,0
3,-1,41,0
29,1,30,0
345,45,132,0
151,23,20,0
-1,5,-1,0
-1,2,-1,0
-1,145,-1,NA
10,8,33,NA
1,-1,4,0
42,13,4,0
35,1,23,NA
-1,4,-1,0
128,177,7,NA
-1,-1,2094,NA
27,29,1,0
3,2,15,0
20,-1,-1,0
4,-1,3,0
-1,3,-1,NA
29,4,4,0
-1,-1,1,0
1,2,-1,0
6,-1,43,0
19,6,-1,0
713,74,85,0
376,-1,-1,0
-1,3,-1,0
964,45,84,0
-1,1,-1,NA
-1,5,-1,NA
-1,-1,1359,NA
478,14,175,0
62,21,37,NA
290,75,144,NA
-1,5,-1,0
-1,-1,11,0
42,26,-1,0
33,-1,25,NA
-1,7,-1,0
4,1,11,0
19,-1,17,0
5,-1,-1,0
61,6,-1,0
-1,4,-1,0
273,6,407,NA
13,15,-1,NA
52,22,9,0
5,12,76,0
555,49,7,0
26,33,-1,NA
15,4,2,0
8,31,-1,0
386,101,468,0
3,27,10,0
2,1,8,0
380,101,434,0
-1,15,-1,0
33,1,18,0
1,-1,-1,0
126,20,-1,0
569,23,534,0
24,12,1,0
6,-1,-1,0
1,-1,-1,NA
14,1,-1,0
41,16,-1,0
112,18,18,0
75,4,10,NA
-1,8,-1,NA
11,-1,-1,NA
447,106,672,0
-1,-1,15,0
61,9,89,0
-1,-1,33,0
74,134,17,NA
4158,447,352,0
-1,-1,3,0
155,20,76,0
151,3,2,0
-1,-1,92,0
12,1,-1,NA
-1,-1,9,0
-1,8,2,0
3,25,-1,NA
-1,32,2,0
226,42,93,0
118,121,5,NA
40,5,15,NA
688,183,140,0
4,-1,36,NA
15,5,58,0
49,6,1,0
569,17,-1,NA
-1,-1,11,0
39,10,1,NA
-1,18,-1,0
47,6,56,0
2,-1,-1,0
1,11,-1,0
19,18,15,NA
840,200,566,0
1,-1,1,NA
154,70,30,0
-1,7,8,0
871,272,156,0
-1,14,-1,0
38,24,6,NA
809,147,106,NA
1,-1,4,0
-1,36,-1,0
-1,3,-1,0
-1,10,-1,0
121,47,-1,NA
-1,-1,11,0
1668,68,1,0
10,3,1,0
12,4,-1,NA
20,14,-1,0
134,78,128,0
5,-1,-1,NA
2,-1,1392,0
2,-1,5,0
62,17,-1,0
85,5,1,0
1394,21,-1,NA
232,73,250,0
28,20,295,NA
-1,5,-1,NA
3,-1,138,0
1,-1,-1,0
41,19,1,0
5,16,7,1
-1,1,13,0
480,155,244,1
-1,-1,39,0
47,7,127,0
178,77,32,0
163,37,-1,0
-1,1,-1,0
1,-1,-1,0
-1,2,-1,0
-1,-1,5,0
-1,1,-1,0
-1,1,-1,NA
-1,11,-1,NA
1,-1,-1,NA
78,96,-1,0
-1,20,-1,0
8,30,-1,NA
7,-1,2,0
78,11,16,NA
-1,2,-1,NA
-1,13,-1,0
-1,9,20,0
-1,-1,44,NA
-1,28,-1,1
-1,1,1,1
3,-1,1432,1
3,-1,-1,1
11074,3813,3444,1
-1,-1,1,1
17,4,2,1
11,-1,-1,1
1058,277,7,1
64,6,166,NA
6,8,-1,NA
1182,453,416,NA
422,82,293,1
210,25,25,1
17,12,-1,1
19,18,15,1
-1,2,-1,1
25,5,-1,NA
1,-1,-1,0
28,2,1,NA
87,1,19,0
7,3,4,0
43,16,76,0
-1,-1,563,0
27,4,3,0
-1,4,-1,0
1,-1,-1,0
137,5,1,0
33,1,18,0
-1,-1,63,0
2,-1,-1,0
1061,136,706,0
151,5,67,0
-1,-1,32,0
-1,5,-1,0
28,3,17,NA
4,-1,-1,NA
-1,-1,2366,NA
1,-1,-1,0
25,5,-1,0
3,-1,4,0
19,4,-1,NA
-1,1,-1,0
13,4,-1,0
-1,1,-1,0
118,17,1,NA
-1,1,13,NA
1,-1,-1,0
35,1,-1,0
-1,1,14,0
-1,-1,3,0
6,23,241,NA
705,140,120,0
1,1,-1,0
-1,4,-1,NA
-1,13,50,NA
8871,-1,-1,0
-1,8,5,0
1117,159,391,0
1,-1,-1,0
-1,67,-1,NA
19,18,-1,0
-1,99,-1,NA
-1,1,-1,0
1460,218,622,0
48,43,-1,0
4,2,26,0
-1,-1,6,0
225,28,62,0
24,5,-1,0
303,12,11,0
-1,1,-1,0
92,3,107,NA
22,1,-1,0
5,5,-1,0
40,4,-1,0
-1,6,-1,0
23,19,36,0
4,4,-1,0
3,23,-1,0
57,6,-1,0
42,17,-1,0
-1,2,-1,0
1,3,-1,0
129,19,76,0
273,6,407,0
-1,-1,1,0
270,-1,-1,0
-1,-1,9,0
-1,-1,92,0
358,84,206,NA
3,23,-1,0
7,-1,2,0
45,38,-1,0
-1,-1,344,0
-1,1,-1,0
3653,1287,879,NA
-1,1,1,0
171,54,89,0
20,1,3,0
2,2,-1,0
23,3,8,0
104,2,1,0
2,5,-1,0
-1,3,15,0
79,7,-1,NA
3,4,-1,0
15,13,3,0
32,15,51,0
73,43,-1,NA
6,-1,-1,0
-1,5,-1,NA
-1,12,2,0
72,48,2,NA
264,33,254,1
46,31,28,1
89,29,82,NA
-1,-1,9,1
9738,1637,1546,1
2695,460,973,NA
-1,-1,1,1
-1,-1,60,1
245,97,65,1
1,-1,-1,1
-1,1,615,NA
44,6,20,1
3505,816,922,1
38,15,11,NA
3,-1,-1,1
-1,4,-1,0
7,-1,-1,0
1,2,1,0
804,160,71,NA
-1,-1,432,0
99,38,36,0
3,-1,-1,0
30,6,84,0
13,11,-1,0
69,24,8,0
18,-1,28,0
-1,12,3685,0
-1,99,-1,0
74,24,14,0
72,25,6,0
349,78,219,NA
423,55,215,0
7,3,4,0
5,3,66,0
249,93,44,0
1008,149,106,NA
-1,33,-1,0
1,-1,1,0
-1,13,-1,NA
-1,4,11,0
272,11,1,0
31,32,235,0
-1,-1,19,NA
-1,6,-1,0
-1,4,-1,0
-1,4,-1,0
245,97,65,0
-1,1,-1,0
6742,-1,-1,NA
510,150,181,0
365,-1,-1,0
622,13,444,NA
-1,2,-1,0
65,11,-1,0
206,28,204,0
3,-1,2,0
4,12,-1,0
8,30,-1,0
3,-1,1448,0
304,28,75,0
-1,4,-1,0
-1,2,-1,0
328,77,29,0
19,9,1,NA
764,207,547,0
1331,-1,-1,0
-1,8,-1,0
1457,218,187,0
1435,144,81,0
391,38,1,NA
3640,1113,7,0
51,48,34,0
21,10,-1,0
13,15,-1,0
59,6,-1,0
-1,-1,47,0
49,6,1,0
-1,-1,10,0
15,6,4,0
365,-1,-1,0
126,20,-1,0
-1,-1,61,0
2,-1,-1,0
-1,36,-1,0
27,8,54,0
86,36,9,0
2845,16,7,0
389,75,151,0
10,-1,5,NA
-1,-1,2585,0
74,24,14,0
213,101,231,0
5,-1,234,0
-1,1,-1,0
28,20,295,NA
2009,334,78,0
5,16,7,0
-1,4,-1,NA
7,3,2,NA
1331,-1,-1,0
-1,28,-1,0
389,75,151,NA
19,-1,-1,0
112,18,18,NA
6742,-1,-1,0
-1,2,1,NA
833,43,55,0
-1,-1,1,0
202,3,43,0
23,36,16,0
217,37,106,0
-1,6,-1,0
106,2,5,0
-1,12,-1,NA
245,97,65,NA
1301,161,531,0
-1,9,-1,0
143,3,-1,0
1,-1,-1,0
-1,-1,8,0
24,12,1,0
35,25,11,0
1769,183,-1,0
3,-1,-1,0
-1,1,-1,NA
1,-1,-1,NA
93,14,190,0
-1,-1,11,0
11,1,-1,NA
-1,4,7,0
42,13,4,NA
-1,-1,123,0
-1,46,-1,0
134,78,128,0
35,1,23,0
1956,597,804,0
28,3,17,NA
-1,5,-1,0
480,107,722,NA
86,4,2,0
71,25,1,NA
-1,13,-1,0
84,12,13,0
39,5,7,NA
1,2,-1,NA
-1,-1,4,NA
-1,-1,61,0
128,177,7,0
36,9,47,0
149,40,2,0
1460,218,622,0
-1,-1,3,0
8,31,-1,0
7,1,-1,NA
75,-1,-1,0
712,213,41,0
2,7,41,0
1,-1,-1,0
145,38,365,0
10,2,-1,0
-1,1,13,0
-1,1,-1,0
249,93,44,0
-1,1,-1,0
-1,-1,424,0
16,-1,28,NA
145,38,365,NA
2,-1,-1,0
1,-1,-1,0
49,3,1,0
13,22,-1,NA
-1,58,-1,0
126,23,405,0
-1,134,-1,0
49,-1,4,0
98,-1,-1,0
39,10,1,NA
-1,12,-1,0
302,177,131,0
80,5,17,0
-1,-1,6707,0
19,4,-1,0
-1,14,-1,NA
199,434,16,0
-1,42,-1,0
-1,-1,17,0
11,-1,9,0
522,145,85,0
-1,28,-1,0
43,4,160,NA
120,25,60,0
1,-1,-1,0
2530,490,1557,NA
6,-1,43,0
3,2,26,NA
3,3,-1,NA
8,-1,171,0
14,-1,-1,0
271,59,156,NA
-1,2,-1,NA
1,-1,-1,0
-1,-1,1,0
-1,19,-1,0
14,1,42,0
7,3,-1,NA
-1,-1,10,0
153,107,7,0
-1,7,2,0
1,-1,-1,0
1,23,-1,0
16,4,42,0
-1,-1,25,0
-1,4,-1,NA
20,-1,-1,0
-1,-1,19,NA
35,1,23,0
38,10,47,NA
2,5,-1,0
1,2,34,0
1,-1,-1,0
-1,-1,563,0
-1,28,-1,0
27,4,3,0
1,-1,-1,0
1,-1,4,0
-1,-1,34,0
105,30,-1,NA
-1,8,-1,0
93,-1,11,0
48,20,191,0
303,12,11,0
-1,-1,1408,0
-1,12,-1,NA
2,7,-1,0
-1,51,-1,0
28,62,6,0
59,12,-1,0
1453,55,3,NA
1,-1,-1,0
147,17,34,0
-1,318,-1,0
253,10,25,0
2901,-1,26,0
2,19,-1,NA
7,-1,2,NA
234,45,33,0
1,17,12,0
74,28,-1,NA
2,6,7,0
12,3,21,0
416,41,363,0
152,32,6,0
14,1,-1,NA
-1,3,-1,0
-1,-1,7,0
-1,-1,11,0
110,-1,72,0
23,-1,-1,0
-1,10,-1,0
-1,-1,18,0
1,-1,-1,0
-1,11,-1,0
2,-1,-1,NA
2,2,82,0
-1,3,-1,0
139,145,11,0
2688,398,703,0
63,26,-1,0
10,2,-1,0
263,24,222,NA
-1,51,-1,0
-1,1,-1,0
47,5,45,0
4,-1,179,0
147,84,27,0
416,41,363,0
184,75,123,0
302,68,83,0
3,-1,-1,0
1,-1,14,0
19,18,-1,0
42,14,-1,NA
242,28,22,0
25,-1,-1,0
1,-1,-1,0
12,4,-1,0
3505,816,922,0
-1,7,-1,0
32,9,-1,0
7,1,-1,0
42,6,29,NA
133,77,34,0
-1,-1,29,0
-1,1,-1,0
1750,306,243,0
7,3,-1,NA
225,80,147,0
-1,8,2,0
-1,-1,9309,0
1859,164,218,0
89,9,48,0
480,155,244,0
40,19,5,NA
28,32,31,0
10,-1,11,0
2647,150,-1,0
37,12,46,0
151,5,67,0
1424,386,322,0
2,-1,-1,0
4,-1,16,0
5,7,6,0
-1,-1,60,0
2166,485,2108,0
49,3,1,0
23,9,-1,0
46,2,3,0
61,-1,15,0
-1,-1,3,0
5,49,1,0
-1,-1,1,NA
610,44,86,0
27,29,1,NA
-1,-1,1018,0
173,14,302,0
-1,28,-1,1
196,15,216,NA
294,82,13,1
-1,-1,9,1
22,11,-1,1
35,25,11,1
78,11,16,1
242,49,197,1
-1,-1,233,1
83,39,16,1
-1,6,-1,1
328,77,29,1
476,51,49,1
6,-1,-1,1
899,218,102,1
-1,1,-1,1
190,125,18,NA
104,2,1,1
22,15,21,0
569,23,534,0
14,1,-1,0
1424,386,322,0
-1,8,2,0
74,28,-1,0
13,14,10,0
13,22,-1,0
251,75,93,0
469,176,12,NA
2089,408,302,0
126,20,-1,0
40,-1,3,0
12,4,-1,0
49,16,1,0
7,1,-1,0
141,-1,-1,0
167,53,934,NA
-1,30,-1,NA
2,-1,-1,0
4,2,26,NA
-1,-1,469,NA
132,152,79,NA
1,3,4,0
15,2,6,0
-1,-1,9309,0
3,2,15,NA
11821,2679,3035,0
3,-1,-1,0
983,-1,3,NA
3,-1,-1,NA
264,33,254,0
564,171,593,NA
131,47,7,NA
3,-1,1,0
-1,29,3,0
3724,-1,-1,0
-1,-1,6,0
-1,3,-1,0
1,-1,-1,0
-1,2,-1,0
79,24,-1,NA
19,18,15,NA
-1,-1,5,0
38,4,5,0
12,3,-1,0
256,53,44,0
27,4,3,0
1338,67,-1,NA
40,2,8,0
3,-1,1,0
2,-1,-1,0
-1,-1,2,0
-1,-1,6,0
36,15,17,0
211,33,61,0
3,-1,2,0
5,-1,-1,0
-1,12,-1,0
-1,-1,13,0
-1,13,-1,0
478,14,175,0
-1,-1,1217,NA
6,-1,-1,0
150,80,46,0
1,-1,1,0
8871,-1,-1,0
6,3,-1,0
73,4,-1,0
35,2,2,NA
92,3,107,0
-1,-1,1,0
191,18,40,NA
-1,1,-1,NA
7,-1,35,0
36,-1,-1,0
-1,28,-1,0
365,-1,-1,0
2,-1,-1,0
-1,1,-1,0
-1,-1,335,0
75,4,10,0
-1,7,-1,0
-1,-1,11,0
-1,318,-1,0
12,2,3,0
2166,485,2108,0
272,11,498,0
-1,4,-1,0
-1,-1,131,0
-1,134,-1,0
42,3,-1,NA
-1,-1,2027,0
7847,-1,8,0
2,3,-1,NA
1,17,-1,NA
218,59,1,0
13,6,29,0
198,3,99,NA
2169,-1,3,0
899,218,102,NA
53,6,254,0
349,78,219,0
-1,5,38,0
4,-1,9105,0
25,-1,-1,0
22,6,17,0
-1,42,-1,0
41,16,-1,NA
-1,-1,54,NA
9,4,3,0
86,36,9,0
21,7,-1,0
54,8,-1,NA
75,54,2,0
35,67,15,0
38,24,6,0
225,28,62,0
-1,1,13,NA
14,-1,-1,0
5,12,76,0
16,-1,23,NA
2009,334,78,0
-1,1,34,NA
4212,665,1074,0
-1,-1,1241,0
23,6,51,NA
56,16,1,0
563,230,84,0
473,391,5,0
-1,-1,2,0
55,3,2,0
599,-1,-1,0
40,4,-1,0
522,160,20,NA
5,1,14,0
242,35,28,0
9,2,92,0
26,19,-1,0
30,1,18,0
3,-1,-1,NA
121,47,-1,0
211,20,109,0
2721,-1,-1,NA
35,6,46,0
33,8,229,0
-1,11,-1,NA
-1,10,-1,0
10,-1,11,0
-1,-1,36,0
3,-1,-1,0
-1,8,256,0
2,-1,-1,0
92,-1,-1,0
51,26,-1,0
2,-1,-1,0
8,17,-1,0
-1,-1,15,0
1668,68,1,0
-1,8,-1,0
-1,-1,210,0
411,108,-1,0
1010,587,98,0
42,7,-1,NA
146,19,13,NA
3,-1,55,0
473,391,5,0
-1,1,43,0
-1,19,-1,0
-1,-1,92,NA
4,-1,3,NA
11074,3813,3444,0
-1,-1,193,0
89,9,48,0
-1,42,-1,0
-1,-1,6518,NA
1394,21,-1,0
147,84,27,0
22,1,-1,0
20,1,-1,0
-1,-1,9,0
-1,2,-1,0
478,14,175,0
-1,-1,1018,0
40,12,106,0
129,19,76,0
-1,-1,793,0
-1,1,-1,0
-1,13,-1,NA
-1,12,-1,0
120,22,13,0
3,3,1,NA
3653,1287,879,0
1807,-1,-1,NA
-1,66,-1,0
-1,-1,13,0
-1,-1,113,0
-1,-1,17,0
-1,46,-1,0
6578,12,4,0
5,-1,-1,0
7,-1,-1,NA
-1,-1,1,0
6,2,-1,0
2,1,-1,NA
-1,4,-1,0
68,7,-1,NA
44,35,84,0
-1,2,-1,0
-1,1,-1,0
-1,3,6,0
213,101,231,0
206,28,204,0
-1,1,-1,0
-1,-1,6,0
1,-1,-1,0
-1,-1,9309,0
555,49,7,0
1780,951,2329,0
2089,408,302,0
-1,10,-1,0
38,9,26,0
-1,-1,793,0
694,-1,-1,0
13,-1,-1,0
5,-1,1,NA
6,-1,4,NA
-1,-1,63,0
1,-1,-1,0
162,11,119,0
7,-1,-1,0
225,80,147,0
-1,-1,14,0
85,5,1,0
-1,12,3685,NA
178,12,-1,0
1117,606,137,0
15,65,-1,0
-1,1,-1,0
163,88,77,0
-1,-1,3,0
35,1,23,0
35,67,15,0
2212,428,1113,0
2710,243,952,0
-1,6,-1,NA
14,1,-1,0
22,1,-1,0
151,-1,-1,0
94,20,1,NA
-1,4,-1,0
1275,-1,-1,0
-1,13,50,NA
-1,-1,167,0
-1,1,-1,0
-1,-1,2,0
1,16,4,0
349,78,219,0
3,-1,2,0
-1,5,-1,NA
-1,-1,2,0
37,43,2,0
-1,15,-1,0
15,6,4,0
64,20,56,0
-1,404,-1,NA
-1,-1,12,0
1434,1000,2,0
4,4,-1,0
27,18,3,0
66,-1,3,0
37,2,-1,0
-1,10,-1,0
-1,-1,1359,NA
67,8,67,NA
-1,-1,1993,0
107,11,3,0
-1,35,3,0
-1,3,-1,0
-1,-1,210,0
4,8,-1,0
15,1,14,0
-1,-1,185,0
11,-1,-1,0
-1,1,-1,0
16,7,50,0
5368,1001,1584,0
-1,6,-1,0
1189,173,1182,0
-1,11,-1,0
-1,9,-1,0
8,-1,115,NA
-1,2,27,0
-1,1,-1,0
7,-1,2,0
23,-1,15,0
156,22,130,0
654,-1,-1,0
20,1,3,NA
163,88,77,0
-1,-1,1,0
191,18,40,0
394,46,-1,0
2,1,1,NA
-1,-1,1,NA
-1,-1,105,0
4,2,2,0
-1,-1,2366,0
126,23,405,0
-1,58,-1,0
234,17,6,0
-1,10,-1,NA
27,4,3,0
227,13,-1,NA
5,13,291,0
271,59,156,0
-1,24,-1,0
-1,-1,4,NA
221,120,96,0
1,-1,-1,0
-1,1,14,0
5,7,6,0
-1,-1,3,0
263,24,222,0
423,55,215,0
-1,9,1,NA
7847,-1,8,0
1,-1,-1,0
1,-1,-1,0
1,-1,-1,0
-1,-1,2281,0
14,5,6,0
141,-1,-1,0
303,44,26,0
-1,-1,2377,0
-1,-1,102,0
66,18,151,0
-1,-1,6,0
3,-1,-1,NA
6742,-1,-1,0
9,2,92,0
199,108,121,NA
163,5,82,NA
469,18,14,0
99,38,36,0
-1,5,-1,NA
-1,-1,25,0
683,315,604,0
67,40,11,0
189,82,682,0
-1,3,1,NA
27,5,-1,0
57,27,5,NA
13,16,40,0
227,13,-1,0
128,177,7,0
447,106,672,0
14,1,-1,0
-1,-1,29,0
52,22,9,NA
49,16,1,0
1,-1,-1,NA
4158,447,352,0
794,136,4,0
47,5,34,0
12,3,-1,0
-1,51,-1,0
-1,5,-1,0
29,1,30,0
11,1,2,0
-1,4,-1,0
-1,8,-1,0
19,18,-1,0
11,2,4,0
33,2,17,0
1,-1,-1,NA
-1,1,-1,0
8,17,-1,0
-1,7,-1,0
-1,-1,4,0
152,32,6,0
2661,516,237,0
-1,-1,19,0
36,-1,-1,0
-1,-1,10,0
404,202,337,NA
35,15,17,0
310,70,139,NA
35,1,-1,0
52,22,9,0
47,17,78,0
2191,368,720,0
4843,1591,2247,0
976,72,547,NA
1,-1,-1,NA
225,80,147,0
1,-1,40,0
-1,1,1,0
1,-1,14,NA
4,8,-1,0
71,10,34,NA
42,17,-1,0
91,37,1,0
-1,27,-1,NA
-1,1,34,0
-1,12,-1,0
55,6,-1,0
348,62,31,0
2709,641,508,0
1166,85,547,0
-1,-1,54,0
21,6,5,0
379,79,231,0
-1,-1,1624,0
-1,15,-1,0
72,25,6,0
65,16,1,NA
236,34,15,0
-1,14,-1,0
2,6,-1,0
-1,-1,344,0
35,4,9,0
-1,-1,1,0
8,30,-1,0
-1,1,-1,0
451,116,817,NA
9,-1,-1,0
