,SOP_BU_A,SOP_BU_B,SOP_BU_C,Reseller
1219,4,-1,-1,NA
1220,111,7,14,NA
1221,44,6,20,0
1222,1,-1,-1,NA
1223,-1,-1,5,0
1224,-1,38,7,0
1225,42,3,-1,0
1226,-1,14,-1,NA
1227,-1,8,1,1
1228,3,2,1,0
1229,6,-1,4,0
1230,27,3,18,0
1231,242,35,28,0
1232,7,5,11,0
1233,152,-1,60,0
1234,41,13,28,0
1235,-1,1,-1,0
1236,-1,12,-1,NA
1237,1901,132,513,0
1238,-1,4,-1,NA
1239,-1,2,5,NA
1240,2,1,1,0
1241,93,-1,11,0
1242,163,-1,-1,0
1243,35,6,46,NA
1244,-1,1,-1,0
1245,151,23,20,0
1246,-1,19,-1,0
1247,47,17,78,0
1248,-1,-1,469,0
1249,1,1,-1,0
1250,-1,-1,8,NA
1251,-1,2,-1,0
1252,794,136,4,0
1253,10,-1,-1,0
1254,117,14,-1,0
1255,95,12,96,0
1256,3,-1,-1,0
1257,279,54,1168,NA
1258,11,-1,-1,0
1259,1992,278,186,0
1260,100,7,5,0
1261,49,3,33,NA
1262,4,-1,-1,0
1263,1,1,15,0
1264,394,46,-1,0
1265,13,1,-1,0
1266,1,-1,-1,0
1267,2,-1,12,0
1268,12,3,-1,0
1269,-1,-1,18,0
1270,-1,6,-1,0
1271,2,-1,-1,0
1272,-1,-1,2,0
1273,32,12,20,0
1274,-1,1,-1,0
1275,3,25,-1,NA
1276,3640,1113,7,0
1277,19,22,-1,0
1278,-1,-1,4,0
1279,3,23,-1,0
1280,343,26,1,0
1281,-1,23,-1,0
1282,7,-1,-1,0
1283,-1,-1,4,0
1284,72,25,6,0
1285,11821,2679,3035,NA
1286,2,-1,-1,1
1287,2,-1,6,1
1288,3,-1,-1,1
1289,11,-1,-1,1
1290,-1,-1,71,1
1291,65,35,14,1
1292,-1,-1,10,1
1293,1,2,-1,1
1294,-1,-1,68,NA
1295,-1,-1,265,1
1296,30,1,18,1
1297,78,96,-1,1
1298,5067,1047,3419,NA
1299,19,679,6,1
1300,19,1,-1,1
1301,16,3,-1,1
1302,581,187,180,1
1303,1457,218,187,1
1304,1,-1,-1,1
1305,112,18,18,1
1306,101,28,76,1
1307,-1,-1,193,0
1308,-1,-1,25,0
1309,-1,2,-1,0
1310,-1,-1,1,0
1311,1780,951,2329,0
1312,107,11,3,NA
1313,-1,3,-1,0
1314,-1,2,-1,NA
1315,18,9,14,NA
1316,-1,-1,1,0
1317,-1,-1,42,0
1318,236,34,15,0
1319,416,-1,-1,0
1320,-1,1,-1,0
1321,178,12,-1,0
1322,-1,1,-1,NA
1323,279,238,26,0
1324,160,8,11,0
1325,31,62,17,NA
1326,1859,164,218,0
1327,2,2,82,0
1328,7,1,-1,0
1329,-1,4,-1,NA
1330,362,84,654,0
1331,2,6,7,NA
1332,-1,10,-1,0
1333,-1,-1,1,NA
1334,-1,-1,12,NA
1335,3,-1,-1,NA
1336,39,7,21,0
1337,71,25,1,0
1338,-1,3,15,0
1339,683,315,604,0
1340,-1,-1,10,0
1341,-1,9,-1,NA
1342,6,6,-1,0
1343,31,4,7,0
1344,-1,23,-1,0
1345,11,3,-1,NA
1346,163,5,82,0
1347,111,7,14,0
1348,11,2,4,0
1349,-1,4,-1,0
1350,18,1,8,0
1351,-1,1,-1,0
1352,804,160,71,0
1353,-1,-1,13,0
1354,-1,35,3,0
1355,-1,4,11,0
1356,-1,-1,4,NA
1357,-1,290,-1,0
1358,-1,-1,3,0
1359,2721,-1,-1,0
1360,-1,-1,6518,0
1361,-1,20,-1,0
1362,87,187,81,0
1363,374,-1,-1,NA
1364,-1,-1,1,0
1365,30,-1,29,NA
1366,1,-1,2,1
1367,3093,718,1558,1
1368,28,6,627,1
1369,71,10,34,1
1370,14,23,39,1
1371,4,-1,65,1
1372,3,2,26,1
1373,-1,20,-1,1
1374,22,29,13,1
1375,132,12,-1,NA
1376,-1,-1,2366,1
1377,163,37,-1,1
1378,1,-1,-1,1
1379,1,-1,-1,1
1380,112,18,18,1
1381,1890,322,1073,NA
1382,22,11,-1,NA
1383,871,272,156,1
1384,-1,9,-1,1
1385,7,2,-1,1
1386,-1,-1,1,1
1387,1,-1,-1,NA
1388,2158,620,852,0
1389,-1,-1,131,0
1390,-1,5,-1,0
1391,-1,188,-1,0
1392,28,32,31,0
1393,72,48,2,0
1394,39,10,-1,0
1395,-1,-1,10,0
1396,4,-1,-1,0
1397,-1,35,1,NA
1398,90,32,27,0
1399,19,-1,17,0
1400,-1,-1,6707,NA
1401,44,12,50,NA
1402,345,45,132,NA
1403,234,45,33,0
1404,2,-1,-1,0
1405,-1,6,-1,0
1406,13,14,10,0
1407,48,20,191,NA
1408,11,-1,2,0
1409,1859,164,218,0
1410,6,2,-1,0
1411,232,73,250,NA
1412,-1,19,-1,0
1413,8716,993,2340,0
1414,-1,8,5,0
1415,38,15,11,0
1416,27,8,54,0
1417,445,58,155,0
1418,478,14,175,0
1419,-1,-1,40,NA
1420,3,1,-1,0
1421,-1,5,-1,NA
1422,-1,7,-1,0
1423,-1,-1,35,0
1424,127,38,12,0
1425,3093,718,1558,NA
1426,343,26,1,0
1427,24,4,1,0
1428,-1,2,1,0
1429,227,13,-1,0
1430,5,16,7,0
1431,290,75,144,0
1432,89,9,48,NA
1433,36,18,92,NA
1434,-1,-1,905,NA
1435,-1,4,-1,0
1436,24,-1,-1,0
1437,2,6,7,0
1438,74,134,17,0
1439,-1,170,-1,0
1440,163,-1,-1,0
1441,-1,10,1,0
1442,833,43,55,0
1443,303,-1,38,0
1444,-1,-1,787,0
1445,6,-1,-1,0
1446,65,-1,-1,0
1447,9,5,37,0
1448,4,5,3,0
1449,1750,306,243,0
1450,1077,45,121,0
1451,3,1,-1,0
1452,228,60,66,0
1453,2,6,-1,0
1454,2845,16,7,0
1455,1,2,-1,0
1456,6,-1,52,0
1457,1,-1,733,NA
1458,14,5,6,0
1459,-1,3,1,0
1460,94,20,1,NA
1461,83,39,16,0
1462,133,77,34,NA
1463,1,4,236,NA
1464,147,373,12,NA
1465,41,3,19,0
1466,106,115,84,0
1467,16,-1,28,NA
1468,-1,4,-1,0
1469,1166,85,547,0
1470,-1,1,-1,0
1471,-1,18,-1,0
1472,78,20,43,0
1473,253,10,25,NA
1474,504,182,255,0
1475,6177,-1,-1,0
1476,-1,35,1,NA
1477,5,2,-1,0
1478,-1,8,-1,NA
1479,80,14,-1,0
1480,13,1,-1,0
1481,15,1,11,0
1482,-1,18,-1,0
1483,496,31,467,0
1484,40,12,106,NA
1485,-1,-1,2449,0
1486,420,126,217,NA
1487,11,7,2,0
1488,1424,386,322,0
1489,1453,55,3,0
1490,28,7,-1,0
1491,28,3,5,NA
1492,104,5,125,0
1493,-1,2,-1,0
1494,2,-1,-1,NA
1495,7847,-1,8,0
1496,480,107,722,0
1497,-1,18,-1,0
1498,13,14,10,0
1499,-1,5,-1,0
1500,245,88,21,0
1501,445,58,155,0
1502,1,-1,15,NA
1503,44,12,50,0
1504,146,33,63,0
1505,223,96,199,0
1506,1,-1,-1,NA
1507,4,-1,-1,0
1508,11,-1,9,0
1509,5,-1,-1,NA
1510,88,3,-1,0
1511,-1,1,-1,NA
1512,395,322,246,0
1513,-1,-1,1,0
1514,-1,-1,6,0
1515,177,41,51,0
1516,160,8,11,0
1517,-1,-1,3,0
1518,8,10,203,0
1519,2260,116,281,NA
1520,-1,21,-1,0
1521,133,30,3,0
1522,3,-1,41,0
1523,29,1,30,0
1524,345,45,132,0
1525,151,23,20,0
1526,-1,5,-1,0
1527,-1,2,-1,0
1528,-1,145,-1,NA
1529,10,8,33,NA
1530,1,-1,4,0
1531,42,13,4,0
1532,35,1,23,NA
1533,-1,4,-1,0
1534,128,177,7,NA
1535,-1,-1,2094,NA
1536,27,29,1,0
1537,3,2,15,0
1538,20,-1,-1,0
1539,4,-1,3,0
1540,-1,3,-1,NA
1541,29,4,4,0
1542,-1,-1,1,0
1543,1,2,-1,0
1544,6,-1,43,0
1545,19,6,-1,0
1546,713,74,85,0
1547,376,-1,-1,0
1548,-1,3,-1,0
1549,964,45,84,0
1550,-1,1,-1,NA
1551,-1,5,-1,NA
1552,-1,-1,1359,NA
1553,478,14,175,0
1554,62,21,37,NA
1555,290,75,144,NA
1556,-1,5,-1,0
1557,-1,-1,11,0
1558,42,26,-1,0
1559,33,-1,25,NA
1560,-1,7,-1,0
1561,4,1,11,0
1562,19,-1,17,0
1563,5,-1,-1,0
1564,61,6,-1,0
1565,-1,4,-1,0
1566,273,6,407,NA
1567,13,15,-1,NA
1568,52,22,9,0
1569,5,12,76,0
1570,555,49,7,0
1571,26,33,-1,NA
1572,15,4,2,0
1573,8,31,-1,0
1574,386,101,468,0
1575,3,27,10,0
1576,2,1,8,0
1577,380,101,434,0
1578,-1,15,-1,0
1579,33,1,18,0
1580,1,-1,-1,0
1581,126,20,-1,0
1582,569,23,534,0
1583,24,12,1,0
1584,6,-1,-1,0
1585,1,-1,-1,NA
1586,14,1,-1,0
1587,41,16,-1,0
1588,112,18,18,0
1589,75,4,10,NA
1590,-1,8,-1,NA
1591,11,-1,-1,NA
1592,447,106,672,0
1593,-1,-1,15,0
1594,61,9,89,0
1595,-1,-1,33,0
1596,74,134,17,NA
1597,4158,447,352,0
1598,-1,-1,3,0
1599,155,20,76,0
1600,151,3,2,0
1601,-1,-1,92,0
1602,12,1,-1,NA
1603,-1,-1,9,0
1604,-1,8,2,0
1605,3,25,-1,NA
1606,-1,32,2,0
1607,226,42,93,0
1608,118,121,5,NA
1609,40,5,15,NA
1610,688,183,140,0
1611,4,-1,36,NA
1612,15,5,58,0
1613,49,6,1,0
1614,569,17,-1,NA
1615,-1,-1,11,0
1616,39,10,1,NA
1617,-1,18,-1,0
1618,47,6,56,0
1619,2,-1,-1,0
1620,1,11,-1,0
1621,19,18,15,NA
1622,840,200,566,0
1623,1,-1,1,NA
1624,154,70,30,0
1625,-1,7,8,0
1626,871,272,156,0
1627,-1,14,-1,0
1628,38,24,6,NA
1629,809,147,106,NA
1630,1,-1,4,0
1631,-1,36,-1,0
1632,-1,3,-1,0
1633,-1,10,-1,0
1634,121,47,-1,NA
1635,-1,-1,11,0
1636,1668,68,1,0
1637,10,3,1,0
1638,12,4,-1,NA
1639,20,14,-1,0
1640,134,78,128,0
1641,5,-1,-1,NA
1642,2,-1,1392,0
1643,2,-1,5,0
1644,62,17,-1,0
1645,85,5,1,0
1646,1394,21,-1,NA
1647,232,73,250,0
1648,28,20,295,NA
1649,-1,5,-1,NA
1650,3,-1,138,0
1651,1,-1,-1,0
1652,41,19,1,0
1653,5,16,7,1
1654,-1,1,13,0
1655,480,155,244,1
1656,-1,-1,39,0
1657,47,7,127,0
1658,178,77,32,0
1659,163,37,-1,0
1660,-1,1,-1,0
1661,1,-1,-1,0
1662,-1,2,-1,0
1663,-1,-1,5,0
1664,-1,1,-1,0
1665,-1,1,-1,NA
1666,-1,11,-1,NA
1667,1,-1,-1,NA
1668,78,96,-1,0
1669,-1,20,-1,0
1670,8,30,-1,NA
1671,7,-1,2,0
1672,78,11,16,NA
1673,-1,2,-1,NA
1674,-1,13,-1,0
1675,-1,9,20,0
1676,-1,-1,44,NA
1677,-1,28,-1,1
1678,-1,1,1,1
1679,3,-1,1432,1
1680,3,-1,-1,1
1681,11074,3813,3444,1
1682,-1,-1,1,1
1683,17,4,2,1
1684,11,-1,-1,1
1685,1058,277,7,1
1686,64,6,166,NA
1687,6,8,-1,NA
1688,1182,453,416,NA
1689,422,82,293,1
1690,210,25,25,1
1691,17,12,-1,1
1692,19,18,15,1
1693,-1,2,-1,1
1694,25,5,-1,NA
1695,1,-1,-1,0
1696,28,2,1,NA
1697,87,1,19,0
1698,7,3,4,0
1699,43,16,76,0
1700,-1,-1,563,0
1701,27,4,3,0
1702,-1,4,-1,0
1703,1,-1,-1,0
1704,137,5,1,0
1705,33,1,18,0
1706,-1,-1,63,0
1707,2,-1,-1,0
1708,1061,136,706,0
1709,151,5,67,0
1710,-1,-1,32,0
1711,-1,5,-1,0
1712,28,3,17,NA
1713,4,-1,-1,NA
1714,-1,-1,2366,NA
1715,1,-1,-1,0
1716,25,5,-1,0
1717,3,-1,4,0
1718,19,4,-1,NA
1719,-1,1,-1,0
1720,13,4,-1,0
1721,-1,1,-1,0
1722,118,17,1,NA
1723,-1,1,13,NA
1724,1,-1,-1,0
1725,35,1,-1,0
1726,-1,1,14,0
1727,-1,-1,3,0
1728,6,23,241,NA
1729,705,140,120,0
1730,1,1,-1,0
1731,-1,4,-1,NA
1732,-1,13,50,NA
1733,8871,-1,-1,0
1734,-1,8,5,0
1735,1117,159,391,0
1736,1,-1,-1,0
1737,-1,67,-1,NA
1738,19,18,-1,0
1739,-1,99,-1,NA
1740,-1,1,-1,0
1741,1460,218,622,0
1742,48,43,-1,0
1743,4,2,26,0
1744,-1,-1,6,0
1745,225,28,62,0
1746,24,5,-1,0
1747,303,12,11,0
1748,-1,1,-1,0
1749,92,3,107,NA
1750,22,1,-1,0
1751,5,5,-1,0
1752,40,4,-1,0
1753,-1,6,-1,0
1754,23,19,36,0
1755,4,4,-1,0
1756,3,23,-1,0
1757,57,6,-1,0
1758,42,17,-1,0
1759,-1,2,-1,0
1760,1,3,-1,0
1761,129,19,76,0
1762,273,6,407,0
1763,-1,-1,1,0
1764,270,-1,-1,0
1765,-1,-1,9,0
1766,-1,-1,92,0
1767,358,84,206,NA
1768,3,23,-1,0
1769,7,-1,2,0
1770,45,38,-1,0
1771,-1,-1,344,0
1772,-1,1,-1,0
1773,3653,1287,879,NA
1774,-1,1,1,0
1775,171,54,89,0
1776,20,1,3,0
1777,2,2,-1,0
1778,23,3,8,0
1779,104,2,1,0
1780,2,5,-1,0
1781,-1,3,15,0
1782,79,7,-1,NA
1783,3,4,-1,0
1784,15,13,3,0
1785,32,15,51,0
1786,73,43,-1,NA
1787,6,-1,-1,0
1788,-1,5,-1,NA
1789,-1,12,2,0
1790,72,48,2,NA
1791,264,33,254,1
1792,46,31,28,1
1793,89,29,82,NA
1794,-1,-1,9,1
1795,9738,1637,1546,1
1796,2695,460,973,NA
1797,-1,-1,1,1
1798,-1,-1,60,1
1799,245,97,65,1
1800,1,-1,-1,1
1801,-1,1,615,NA
1802,44,6,20,1
1803,3505,816,922,1
1804,38,15,11,NA
1805,3,-1,-1,1
1806,-1,4,-1,0
1807,7,-1,-1,0
1808,1,2,1,0
1809,804,160,71,NA
1810,-1,-1,432,0
1811,99,38,36,0
1812,3,-1,-1,0
1813,30,6,84,0
1814,13,11,-1,0
1815,69,24,8,0
1816,18,-1,28,0
1817,-1,12,3685,0
1818,-1,99,-1,0
1819,74,24,14,0
1820,72,25,6,0
1821,349,78,219,NA
1822,423,55,215,0
1823,7,3,4,0
1824,5,3,66,0
1825,249,93,44,0
1826,1008,149,106,NA
1827,-1,33,-1,0
1828,1,-1,1,0
1829,-1,13,-1,NA
1830,-1,4,11,0
1831,272,11,1,0
1832,31,32,235,0
1833,-1,-1,19,NA
1834,-1,6,-1,0
1835,-1,4,-1,0
1836,-1,4,-1,0
1837,245,97,65,0
1838,-1,1,-1,0
1839,6742,-1,-1,NA
1840,510,150,181,0
1841,365,-1,-1,0
1842,622,13,444,NA
1843,-1,2,-1,0
1844,65,11,-1,0
1845,206,28,204,0
1846,3,-1,2,0
1847,4,12,-1,0
1848,8,30,-1,0
1849,3,-1,1448,0
1850,304,28,75,0
1851,-1,4,-1,0
1852,-1,2,-1,0
1853,328,77,29,0
1854,19,9,1,NA
1855,764,207,547,0
1856,1331,-1,-1,0
1857,-1,8,-1,0
1858,1457,218,187,0
1859,1435,144,81,0
1860,391,38,1,NA
1861,3640,1113,7,0
1862,51,48,34,0
1863,21,10,-1,0
1864,13,15,-1,0
1865,59,6,-1,0
1866,-1,-1,47,0
1867,49,6,1,0
1868,-1,-1,10,0
1869,15,6,4,0
1870,365,-1,-1,0
1871,126,20,-1,0
1872,-1,-1,61,0
1873,2,-1,-1,0
1874,-1,36,-1,0
1875,27,8,54,0
1876,86,36,9,0
1877,2845,16,7,0
1878,389,75,151,0
1879,10,-1,5,NA
1880,-1,-1,2585,0
1881,74,24,14,0
1882,213,101,231,0
1883,5,-1,234,0
1884,-1,1,-1,0
1885,28,20,295,NA
1886,2009,334,78,0
1887,5,16,7,0
1888,-1,4,-1,NA
1889,7,3,2,NA
1890,1331,-1,-1,0
1891,-1,28,-1,0
1892,389,75,151,NA
1893,19,-1,-1,0
1894,112,18,18,NA
1895,6742,-1,-1,0
1896,-1,2,1,NA
1897,833,43,55,0
1898,-1,-1,1,0
1899,202,3,43,0
1900,23,36,16,0
1901,217,37,106,0
1902,-1,6,-1,0
1903,106,2,5,0
1904,-1,12,-1,NA
1905,245,97,65,NA
1906,1301,161,531,0
1907,-1,9,-1,0
1908,143,3,-1,0
1909,1,-1,-1,0
1910,-1,-1,8,0
1911,24,12,1,0
1912,35,25,11,0
1913,1769,183,-1,0
1914,3,-1,-1,0
1915,-1,1,-1,NA
1916,1,-1,-1,NA
1917,93,14,190,0
1918,-1,-1,11,0
1919,11,1,-1,NA
1920,-1,4,7,0
1921,42,13,4,NA
1922,-1,-1,123,0
1923,-1,46,-1,0
1924,134,78,128,0
1925,35,1,23,0
1926,1956,597,804,0
1927,28,3,17,NA
1928,-1,5,-1,0
1929,480,107,722,NA
1930,86,4,2,0
1931,71,25,1,NA
1932,-1,13,-1,0
1933,84,12,13,0
1934,39,5,7,NA
1935,1,2,-1,NA
1936,-1,-1,4,NA
1937,-1,-1,61,0
1938,128,177,7,0
1939,36,9,47,0
1940,149,40,2,0
1941,1460,218,622,0
1942,-1,-1,3,0
1943,8,31,-1,0
1944,7,1,-1,NA
1945,75,-1,-1,0
1946,712,213,41,0
1947,2,7,41,0
1948,1,-1,-1,0
1949,145,38,365,0
1950,10,2,-1,0
1951,-1,1,13,0
1952,-1,1,-1,0
1953,249,93,44,0
1954,-1,1,-1,0
1955,-1,-1,424,0
1956,16,-1,28,NA
1957,145,38,365,NA
1958,2,-1,-1,0
1959,1,-1,-1,0
1960,49,3,1,0
1961,13,22,-1,NA
1962,-1,58,-1,0
1963,126,23,405,0
1964,-1,134,-1,0
1965,49,-1,4,0
1966,98,-1,-1,0
1967,39,10,1,NA
1968,-1,12,-1,0
1969,302,177,131,0
1970,80,5,17,0
1971,-1,-1,6707,0
1972,19,4,-1,0
1973,-1,14,-1,NA
1974,199,434,16,0
1975,-1,42,-1,0
1976,-1,-1,17,0
1977,11,-1,9,0
1978,522,145,85,0
1979,-1,28,-1,0
1980,43,4,160,NA
1981,120,25,60,0
1982,1,-1,-1,0
1983,2530,490,1557,NA
1984,6,-1,43,0
1985,3,2,26,NA
1986,3,3,-1,NA
1987,8,-1,171,0
1988,14,-1,-1,0
1989,271,59,156,NA
1990,-1,2,-1,NA
1991,1,-1,-1,0
1992,-1,-1,1,0
1993,-1,19,-1,0
1994,14,1,42,0
1995,7,3,-1,NA
1996,-1,-1,10,0
1997,153,107,7,0
1998,-1,7,2,0
1999,1,-1,-1,0
2000,1,23,-1,0
2001,16,4,42,0
2002,-1,-1,25,0
2003,-1,4,-1,NA
2004,20,-1,-1,0
2005,-1,-1,19,NA
2006,35,1,23,0
2007,38,10,47,NA
2008,2,5,-1,0
2009,1,2,34,0
2010,1,-1,-1,0
2011,-1,-1,563,0
2012,-1,28,-1,0
2013,27,4,3,0
2014,1,-1,-1,0
2015,1,-1,4,0
2016,-1,-1,34,0
2017,105,30,-1,NA
2018,-1,8,-1,0
2019,93,-1,11,0
2020,48,20,191,0
2021,303,12,11,0
2022,-1,-1,1408,0
2023,-1,12,-1,NA
2024,2,7,-1,0
2025,-1,51,-1,0
2026,28,62,6,0
2027,59,12,-1,0
2028,1453,55,3,NA
2029,1,-1,-1,0
2030,147,17,34,0
2031,-1,318,-1,0
2032,253,10,25,0
2033,2901,-1,26,0
2034,2,19,-1,NA
2035,7,-1,2,NA
2036,234,45,33,0
2037,1,17,12,0
2038,74,28,-1,NA
2039,2,6,7,0
2040,12,3,21,0
2041,416,41,363,0
2042,152,32,6,0
2043,14,1,-1,NA
2044,-1,3,-1,0
2045,-1,-1,7,0
2046,-1,-1,11,0
2047,110,-1,72,0
2048,23,-1,-1,0
2049,-1,10,-1,0
2050,-1,-1,18,0
2051,1,-1,-1,0
2052,-1,11,-1,0
2053,2,-1,-1,NA
2054,2,2,82,0
2055,-1,3,-1,0
2056,139,145,11,0
2057,2688,398,703,0
2058,63,26,-1,0
2059,10,2,-1,0
2060,263,24,222,NA
2061,-1,51,-1,0
2062,-1,1,-1,0
2063,47,5,45,0
2064,4,-1,179,0
2065,147,84,27,0
2066,416,41,363,0
2067,184,75,123,0
2068,302,68,83,0
2069,3,-1,-1,0
2070,1,-1,14,0
2071,19,18,-1,0
2072,42,14,-1,NA
2073,242,28,22,0
2074,25,-1,-1,0
2075,1,-1,-1,0
2076,12,4,-1,0
2077,3505,816,922,0
2078,-1,7,-1,0
2079,32,9,-1,0
2080,7,1,-1,0
2081,42,6,29,NA
2082,133,77,34,0
2083,-1,-1,29,0
2084,-1,1,-1,0
2085,1750,306,243,0
2086,7,3,-1,NA
2087,225,80,147,0
2088,-1,8,2,0
2089,-1,-1,9309,0
2090,1859,164,218,0
2091,89,9,48,0
2092,480,155,244,0
2093,40,19,5,NA
2094,28,32,31,0
2095,10,-1,11,0
2096,2647,150,-1,0
2097,37,12,46,0
2098,151,5,67,0
2099,1424,386,322,0
2100,2,-1,-1,0
2101,4,-1,16,0
2102,5,7,6,0
2103,-1,-1,60,0
2104,2166,485,2108,0
2105,49,3,1,0
2106,23,9,-1,0
2107,46,2,3,0
2108,61,-1,15,0
2109,-1,-1,3,0
2110,5,49,1,0
2111,-1,-1,1,NA
2112,610,44,86,0
2113,27,29,1,NA
2114,-1,-1,1018,0
2115,173,14,302,0
2116,-1,28,-1,1
2117,196,15,216,NA
2118,294,82,13,1
2119,-1,-1,9,1
2120,22,11,-1,1
2121,35,25,11,1
2122,78,11,16,1
2123,242,49,197,1
2124,-1,-1,233,1
2125,83,39,16,1
2126,-1,6,-1,1
2127,328,77,29,1
2128,476,51,49,1
2129,6,-1,-1,1
2130,899,218,102,1
2131,-1,1,-1,1
2132,190,125,18,NA
2133,104,2,1,1
2134,22,15,21,0
2135,569,23,534,0
2136,14,1,-1,0
2137,1424,386,322,0
2138,-1,8,2,0
2139,74,28,-1,0
2140,13,14,10,0
2141,13,22,-1,0
2142,251,75,93,0
2143,469,176,12,NA
2144,2089,408,302,0
2145,126,20,-1,0
2146,40,-1,3,0
2147,12,4,-1,0
2148,49,16,1,0
2149,7,1,-1,0
2150,141,-1,-1,0
2151,167,53,934,NA
2152,-1,30,-1,NA
2153,2,-1,-1,0
2154,4,2,26,NA
2155,-1,-1,469,NA
2156,132,152,79,NA
2157,1,3,4,0
2158,15,2,6,0
2159,-1,-1,9309,0
2160,3,2,15,NA
2161,11821,2679,3035,0
2162,3,-1,-1,0
2163,983,-1,3,NA
2164,3,-1,-1,NA
2165,264,33,254,0
2166,564,171,593,NA
2167,131,47,7,NA
2168,3,-1,1,0
2169,-1,29,3,0
2170,3724,-1,-1,0
2171,-1,-1,6,0
2172,-1,3,-1,0
2173,1,-1,-1,0
2174,-1,2,-1,0
2175,79,24,-1,NA
2176,19,18,15,NA
2177,-1,-1,5,0
2178,38,4,5,0
2179,12,3,-1,0
2180,256,53,44,0
2181,27,4,3,0
2182,1338,67,-1,NA
2183,40,2,8,0
2184,3,-1,1,0
2185,2,-1,-1,0
2186,-1,-1,2,0
2187,-1,-1,6,0
2188,36,15,17,0
2189,211,33,61,0
2190,3,-1,2,0
2191,5,-1,-1,0
2192,-1,12,-1,0
2193,-1,-1,13,0
2194,-1,13,-1,0
2195,478,14,175,0
2196,-1,-1,1217,NA
2197,6,-1,-1,0
2198,150,80,46,0
2199,1,-1,1,0
2200,8871,-1,-1,0
2201,6,3,-1,0
2202,73,4,-1,0
2203,35,2,2,NA
2204,92,3,107,0
2205,-1,-1,1,0
2206,191,18,40,NA
2207,-1,1,-1,NA
2208,7,-1,35,0
2209,36,-1,-1,0
2210,-1,28,-1,0
2211,365,-1,-1,0
2212,2,-1,-1,0
2213,-1,1,-1,0
2214,-1,-1,335,0
2215,75,4,10,0
2216,-1,7,-1,0
2217,-1,-1,11,0
2218,-1,318,-1,0
2219,12,2,3,0
2220,2166,485,2108,0
2221,272,11,498,0
2222,-1,4,-1,0
2223,-1,-1,131,0
2224,-1,134,-1,0
2225,42,3,-1,NA
2226,-1,-1,2027,0
2227,7847,-1,8,0
2228,2,3,-1,NA
2229,1,17,-1,NA
2230,218,59,1,0
2231,13,6,29,0
2232,198,3,99,NA
2233,2169,-1,3,0
2234,899,218,102,NA
2235,53,6,254,0
2236,349,78,219,0
2237,-1,5,38,0
2238,4,-1,9105,0
2239,25,-1,-1,0
2240,22,6,17,0
2241,-1,42,-1,0
2242,41,16,-1,NA
2243,-1,-1,54,NA
2244,9,4,3,0
2245,86,36,9,0
2246,21,7,-1,0
2247,54,8,-1,NA
2248,75,54,2,0
2249,35,67,15,0
2250,38,24,6,0
2251,225,28,62,0
2252,-1,1,13,NA
2253,14,-1,-1,0
2254,5,12,76,0
2255,16,-1,23,NA
2256,2009,334,78,0
2257,-1,1,34,NA
2258,4212,665,1074,0
2259,-1,-1,1241,0
2260,23,6,51,NA
2261,56,16,1,0
2262,563,230,84,0
2263,473,391,5,0
2264,-1,-1,2,0
2265,55,3,2,0
2266,599,-1,-1,0
2267,40,4,-1,0
2268,522,160,20,NA
2269,5,1,14,0
2270,242,35,28,0
2271,9,2,92,0
2272,26,19,-1,0
2273,30,1,18,0
2274,3,-1,-1,NA
2275,121,47,-1,0
2276,211,20,109,0
2277,2721,-1,-1,NA
2278,35,6,46,0
2279,33,8,229,0
2280,-1,11,-1,NA
2281,-1,10,-1,0
2282,10,-1,11,0
2283,-1,-1,36,0
2284,3,-1,-1,0
2285,-1,8,256,0
2286,2,-1,-1,0
2287,92,-1,-1,0
2288,51,26,-1,0
2289,2,-1,-1,0
2290,8,17,-1,0
2291,-1,-1,15,0
2292,1668,68,1,0
2293,-1,8,-1,0
2294,-1,-1,210,0
2295,411,108,-1,0
2296,1010,587,98,0
2297,42,7,-1,NA
2298,146,19,13,NA
2299,3,-1,55,0
2300,473,391,5,0
2301,-1,1,43,0
2302,-1,19,-1,0
2303,-1,-1,92,NA
2304,4,-1,3,NA
2305,11074,3813,3444,0
2306,-1,-1,193,0
2307,89,9,48,0
2308,-1,42,-1,0
2309,-1,-1,6518,NA
2310,1394,21,-1,0
2311,147,84,27,0
2312,22,1,-1,0
2313,20,1,-1,0
2314,-1,-1,9,0
2315,-1,2,-1,0
2316,478,14,175,0
2317,-1,-1,1018,0
2318,40,12,106,0
2319,129,19,76,0
2320,-1,-1,793,0
2321,-1,1,-1,0
2322,-1,13,-1,NA
2323,-1,12,-1,0
2324,120,22,13,0
2325,3,3,1,NA
2326,3653,1287,879,0
2327,1807,-1,-1,NA
2328,-1,66,-1,0
2329,-1,-1,13,0
2330,-1,-1,113,0
2331,-1,-1,17,0
2332,-1,46,-1,0
2333,6578,12,4,0
2334,5,-1,-1,0
2335,7,-1,-1,NA
2336,-1,-1,1,0
2337,6,2,-1,0
2338,2,1,-1,NA
2339,-1,4,-1,0
2340,68,7,-1,NA
2341,44,35,84,0
2342,-1,2,-1,0
2343,-1,1,-1,0
2344,-1,3,6,0
2345,213,101,231,0
2346,206,28,204,0
2347,-1,1,-1,0
2348,-1,-1,6,0
2349,1,-1,-1,0
2350,-1,-1,9309,0
2351,555,49,7,0
2352,1780,951,2329,0
2353,2089,408,302,0
2354,-1,10,-1,0
2355,38,9,26,0
