,SOP_NV_Variance,Reseller
1281,6.6e+11,0
1282,4.3e+09,0
1283,6.6e+09,0
1284,7.2e+10,0
1285,9e+10,NA
1286,4.8e+10,1
1287,1.1e+11,1
1288,1.2e+09,1
1289,1.1e+11,1
1290,1.3e+11,1
1291,1.2e+11,1
1292,1.5e+10,1
1293,3e+11,1
1294,7.8e+10,NA
1295,2.4e+11,1
1296,3.4e+11,1
1297,1.6e+11,1
1298,1.8e+11,NA
1299,1.3e+11,1
1300,5.8e+10,1
1301,1.5e+11,1
1302,7.7e+10,1
1303,1.2e+11,1
1304,-1,1
1305,1.1e+11,1
1306,1.6e+11,1
1307,6.1e+10,0
1308,9.1e+09,0
1309,3.6e+09,0
1310,-1,0
1311,2e+11,0
1312,9.5e+10,NA
1313,1.6e+09,0
1314,2.6e+10,NA
1315,2.4e+11,NA
1316,-1,0
1317,2.8e+11,0
1318,9.4e+10,0
1319,1.1e+11,0
1320,-1,0
1321,6.8e+10,0
1322,-1,NA
1323,9.1e+10,0
1324,9e+10,0
1325,2.4e+11,NA
1326,1.3e+11,0
1327,7.8e+10,0
1328,5.6e+09,0
1329,1.9e+11,NA
1330,2.2e+11,0
1331,1.7e+11,NA
1332,1.1e+12,0
1333,-1,NA
1334,9.1e+08,NA
1335,2.9e+10,NA
1336,7.9e+11,0
1337,5.5e+11,0
1338,4.5e+11,0
1339,1.4e+11,0
1340,1.1e+12,0
1341,1.2e+12,NA
1342,1e+11,0
1343,8.1e+11,0
1344,6.6e+11,0
1345,1.4e+12,NA
1346,2e+11,0
1347,9.5e+11,0
1348,9e+11,0
1349,1.7e+12,0
1350,1.2e+12,0
1351,-1,0
1352,1.6e+11,0
1353,3.4e+11,0
1354,3.7e+11,0
1355,4.3e+10,0
1356,6.6e+09,NA
1357,5.6e+10,0
1358,2.4e+11,0
1359,1.2e+11,0
1360,1.5e+11,0
1361,2e+10,0
1362,8e+10,0
1363,1e+11,NA
1364,-1,0
1365,1.6e+11,NA
1366,1.1e+10,1
1367,8.3e+10,1
1368,9.1e+10,1
1369,2e+11,1
1370,1.5e+11,1
1371,1.2e+12,1
1372,4.1e+11,1
1373,7e+10,1
1374,4.2e+11,1
1375,2.7e+11,NA
1376,6.8e+10,1
1377,1.4e+11,1
1378,-1,1
1379,-1,1
1380,1.1e+11,1
1381,6.2e+10,NA
1382,1e+11,NA
1383,1.1e+11,1
1384,9.4e+11,1
1385,1.3e+10,1
1386,-1,1
1387,-1,NA
1388,1.6e+11,0
1389,9.9e+10,0
1390,2.2e+09,0
1391,6.7e+10,0
1392,1.7e+11,0
1393,1.3e+11,0
1394,5.7e+10,0
1395,1.4e+11,0
1396,4.1e+09,0
1397,1.2e+12,NA
1398,3.8e+11,0
1399,5.2e+10,0
1400,1.3e+11,NA
1401,2.9e+11,NA
1402,1.2e+11,NA
1403,1.6e+11,0
1404,2e+09,0
1405,1.6e+09,0
1406,8.7e+11,0
1407,1.9e+11,NA
1408,5.8e+09,0
1409,1.3e+11,0
1410,1.1e+10,0
1411,1.1e+11,NA
1412,6.7e+09,0
1413,8.3e+10,0
1414,8.3e+11,0
1415,9.3e+10,0
1416,8.3e+10,0
1417,1.3e+11,0
1418,1.4e+11,0
1419,1.5e+11,NA
1420,1.9e+11,0
1421,1.4e+12,NA
1422,5.6e+09,0
1423,5.8e+10,0
1424,1.2e+11,0
1425,8.3e+10,NA
1426,1.2e+11,0
1427,5.8e+10,0
1428,1.7e+12,0
1429,4.4e+10,0
1430,7.1e+11,0
1431,1e+11,0
1432,5.2e+11,NA
1433,1.6e+11,NA
1434,8.3e+10,NA
1435,8.5e+09,0
1436,2.3e+10,0
1437,1.7e+11,0
1438,9.4e+10,0
1439,4.2e+11,0
1440,8.6e+10,0
1441,1.3e+12,0
1442,1.3e+11,0
1443,1.6e+11,0
1444,1.4e+11,0
1445,1.7e+11,0
1446,1.2e+11,0
1447,1.3e+11,0
1448,1.3e+12,0
1449,1.3e+11,0
1450,1.8e+11,0
1451,1.9e+11,0
1452,1.3e+11,0
1453,1.3e+10,0
1454,1.3e+11,0
1455,2.2e+12,0
1456,5.4e+11,0
1457,1.2e+11,NA
1458,6.8e+11,0
1459,1.6e+12,0
1460,5.3e+11,NA
1461,1.2e+11,0
1462,8.5e+10,NA
1463,2.1e+11,NA
1464,2.1e+11,NA
1465,2.6e+11,0
1466,1.7e+11,0
1467,0,NA
1468,1.2e+12,0
1469,1.2e+11,0
1470,-1,0
1471,4.7e+10,0
1472,1.3e+11,0
1473,1.7e+11,NA
1474,4.2e+11,0
1475,1.3e+11,0
1476,1.2e+12,NA
1477,1.6e+10,0
1478,4.3e+09,NA
1479,8.2e+10,0
1480,1.4e+11,0
1481,9.9e+10,0
1482,3.7e+10,0
1483,1.5e+11,0
1484,1.8e+11,NA
1485,1.2e+11,0
1486,8.1e+10,NA
1487,1.1e+11,0
1488,1.2e+11,0
1489,7.7e+10,0
1490,5.8e+10,0
1491,6.7e+10,NA
1492,2.3e+11,0
1493,7.7e+09,0
1494,5.5e+08,NA
1495,1.3e+11,0
1496,9e+10,0
1497,4.7e+10,0
1498,8.7e+11,0
1499,1.8e+11,0
1500,2.3e+11,0
1501,1.3e+11,0
1502,1.5e+11,NA
1503,2.9e+11,0
1504,1.2e+12,0
1505,7.6e+11,0
1506,-1,NA
1507,3.4e+11,0
1508,5.5e+11,0
1509,8.9e+09,NA
1510,4.6e+11,0
1511,-1,NA
1512,1.2e+11,0
1513,-1,0
1514,2.6e+10,0
1515,1.4e+11,0
1516,9e+10,0
1517,2.4e+11,0
1518,9e+11,0
1519,9.1e+10,NA
1520,1.2e+11,0
1521,2.6e+11,0
1522,1.2e+12,0
1523,1.1e+12,0
1524,1.2e+11,0
1525,1.6e+11,0
1526,3.2e+09,0
1527,2.9e+11,0
1528,4.2e+10,NA
1529,5e+10,NA
1530,4.5e+08,0
1531,3.6e+11,0
1532,7.4e+10,NA
1533,8.7e+09,0
1534,3.3e+11,NA
1535,1.1e+11,NA
1536,7.6e+10,0
1537,1.1e+12,0
1538,9e+10,0
1539,9.1e+10,0
1540,7.4e+09,NA
1541,3.7e+11,0
1542,-1,0
1543,5.5e+11,0
1544,8.4e+11,0
1545,4.6e+10,0
1546,1e+11,0
1547,1.2e+11,0
1548,4.9e+09,0
1549,4.3e+11,0
1550,-1,NA
1551,1.8e+11,NA
1552,1.4e+11,NA
1553,1.4e+11,0
1554,1.9e+11,NA
1555,1e+11,NA
1556,2.4e+10,0
1557,5.3e+09,0
1558,1e+11,0
1559,1.2e+12,NA
1560,2.3e+10,0
1561,1.3e+11,0
1562,5.2e+10,0
1563,1.8e+12,0
1564,3e+11,0
1565,5.9e+10,0
1566,2.5e+11,NA
1567,1.2e+11,NA
1568,4.1e+11,0
1569,1.9e+11,0
1570,8.5e+10,0
1571,4.7e+11,NA
1572,5.8e+10,0
1573,3.5e+10,0
1574,1.2e+11,0
1575,1.9e+11,0
1576,1.2e+11,0
1577,1.3e+11,0
1578,5.4e+10,0
1579,9.6e+10,0
1580,-1,0
1581,1e+11,0
1582,4.2e+11,0
1583,2.9e+11,0
1584,1.4e+11,0
1585,-1,NA
1586,6.8e+10,0
1587,2.9e+11,0
1588,1.1e+11,0
1589,2e+11,NA
1590,1.1e+12,NA
1591,1.8e+10,NA
1592,8.5e+10,0
1593,8.3e+11,0
1594,3.5e+11,0
1595,1.3e+11,0
1596,9.4e+10,NA
1597,1.5e+11,0
1598,1.8e+12,0
1599,5.8e+11,0
1600,3.2e+10,0
1601,1.3e+11,0
1602,8.3e+10,NA
1603,6.3e+10,0
1604,1.1e+12,0
1605,5e+10,NA
1606,1.2e+12,0
1607,1.5e+11,0
1608,9.9e+10,NA
1609,1.2e+11,NA
1610,8.9e+10,0
1611,8.6e+11,NA
1612,3.3e+11,0
1613,3.6e+11,0
1614,1.8e+11,NA
1615,1.4e+12,0
1616,1.1e+11,NA
1617,4.7e+10,0
1618,1.2e+11,0
1619,4.8e+10,0
1620,1.5e+11,0
1621,3.7e+11,NA
1622,1.3e+11,0
1623,1.5e+10,NA
1624,1.8e+11,0
1625,6e+11,0
1626,1.1e+11,0
1627,5.4e+10,0
1628,8.3e+10,NA
1629,1.1e+11,NA
1630,2.8e+11,0
1631,9.7e+10,0
1632,1.7e+12,0
1633,1.1e+11,0
1634,5e+10,NA
1635,3.3e+09,0
1636,9.8e+10,0
1637,2e+10,0
1638,1.3e+11,NA
1639,1.1e+12,0
1640,9.8e+10,0
1641,1.8e+12,NA
1642,1.8e+11,0
1643,1.6e+10,0
1644,6e+10,0
1645,1.2e+11,0
1646,1e+12,NA
1647,1.1e+11,0
1648,1.7e+11,NA
1649,1.4e+12,NA
1650,8.4e+10,0
1651,-1,0
1652,1.3e+11,0
1653,7.1e+11,1
1654,1.2e+11,0
1655,2.6e+11,1
1656,3.8e+10,0
1657,1.7e+11,0
1658,1.8e+11,0
1659,1.4e+11,0
1660,-1,0
1661,-1,0
1662,5.5e+10,0
1663,1.4e+10,0
1664,-1,0
1665,-1,NA
1666,1.2e+12,NA
1667,-1,NA
1668,1.6e+11,0
1669,7e+10,0
1670,1.2e+11,NA
1671,2.4e+10,0
1672,6e+10,NA
1673,0,NA
1674,9.9e+10,0
1675,1.3e+12,0
1676,1.8e+11,NA
1677,2.4e+11,1
1678,6.3e+09,1
1679,9.7e+10,1
1680,2.2e+11,1
1681,2.1e+11,1
1682,-1,1
1683,5.8e+10,1
1684,1.1e+11,1
1685,8.7e+10,1
1686,9.5e+10,NA
1687,6.6e+10,NA
1688,3.2e+11,NA
1689,4.3e+11,1
1690,1.2e+11,1
1691,1.7e+11,1
1692,3.7e+11,1
1693,3.2e+09,1
1694,1.3e+11,NA
1695,-1,0
1696,1.1e+11,NA
1697,1.1e+11,0
1698,4.8e+11,0
1699,1.6e+11,0
1700,1.8e+11,0
1701,4.6e+11,0
1702,5.8e+10,0
1703,-1,0
1704,1.1e+11,0
1705,9.6e+10,0
1706,6.7e+10,0
1707,5.5e+08,0
1708,1.2e+11,0
1709,1.5e+11,0
1710,5.4e+10,0
1711,1.4e+12,0
1712,7.2e+10,NA
1713,2.3e+11,NA
1714,6.8e+10,NA
1715,-1,0
1716,1.3e+11,0
1717,0,0
1718,8.7e+10,NA
1719,-1,0
1720,3.9e+10,0
1721,-1,0
1722,4.9e+10,NA
1723,1.2e+11,NA
1724,-1,0
1725,6.5e+11,0
1726,1.1e+12,0
1727,2.6e+10,0
1728,1.3e+11,NA
1729,1.3e+11,0
1730,5e+11,0
1731,4.4e+11,NA
1732,8.5e+11,NA
1733,1.3e+11,0
1734,8.3e+11,0
1735,2.3e+11,0
1736,-1,0
1737,6.3e+10,NA
1738,1.5e+11,0
1739,9.5e+10,NA
1740,-1,0
1741,1.2e+11,0
1742,1.2e+11,0
1743,1e+12,0
1744,3.7e+10,0
1745,1.3e+11,0
1746,9.9e+11,0
1747,2.9e+11,0
1748,-1,0
1749,1.4e+11,NA
1750,6.4e+10,0
1751,2.1e+10,0
1752,7.8e+10,0
1753,2.3e+11,0
1754,8.7e+10,0
1755,1.2e+11,0
1756,1.7e+11,0
1757,6.2e+11,0
1758,1.1e+11,0
1759,2.4e+10,0
1760,0,0
1761,1.7e+11,0
1762,2.5e+11,0
1763,-1,0
1764,1.5e+11,0
1765,6.2e+11,0
1766,1.3e+11,0
1767,1.5e+11,NA
1768,1.7e+11,0
1769,8.6e+10,0
1770,3.3e+11,0
1771,9.4e+10,0
1772,-1,0
1773,9e+10,NA
1774,2.4e+09,0
1775,1.3e+11,0
1776,4.7e+10,0
1777,2.3e+11,0
1778,6.7e+10,0
1779,5.1e+10,0
1780,1.6e+12,0
1781,4.5e+11,0
1782,8.4e+10,NA
1783,2.4e+11,0
1784,4.5e+11,0
1785,9.3e+10,0
1786,2.8e+11,NA
1787,1.4e+11,0
1788,7.7e+09,NA
1789,7.6e+11,0
1790,1.3e+11,NA
1791,9.4e+10,1
1792,3.7e+11,1
1793,1.4e+11,NA
1794,8.3e+10,1
1795,1.7e+11,1
1796,7.9e+10,NA
1797,-1,1
1798,5.4e+10,1
1799,1e+11,1
1800,-1,1
1801,8.9e+10,NA
1802,7.8e+11,1
1803,2e+11,1
1804,9.3e+10,NA
1805,1.5e+12,1
1806,3.7e+10,0
1807,1.2e+12,0
1808,2.3e+11,0
1809,1.6e+11,NA
1810,1.6e+11,0
1811,4.7e+11,0
1812,1.7e+08,0
1813,2.9e+11,0
1814,1.2e+11,0
1815,4e+10,0
1816,4.6e+11,0
1817,8.1e+10,0
1818,9.5e+10,0
1819,8.9e+10,0
1820,7.2e+10,0
1821,2e+11,NA
1822,1.5e+11,0
1823,4.8e+11,0
1824,9e+10,0
1825,9.7e+10,0
1826,1.5e+11,NA
1827,7.4e+10,0
1828,3e+10,0
1829,1.5e+10,NA
1830,4.3e+10,0
1831,2.2e+11,0
1832,1.2e+11,0
1833,9.8e+11,NA
1834,7.9e+09,0
1835,1.3e+08,0
1836,1.5e+10,0
1837,1e+11,0
1838,-1,0
1839,1.9e+11,NA
1840,1.3e+11,0
1841,1e+11,0
1842,1.6e+11,NA
1843,1e+10,0
1844,8.3e+10,0
1845,1.4e+11,0
1846,5.4e+10,0
1847,1.4e+10,0
1848,1.2e+11,0
1849,3e+11,0
1850,1.8e+11,0
1851,1e+12,0
1852,0,0
1853,8.1e+10,0
1854,1.2e+12,NA
1855,1.4e+11,0
1856,1e+11,0
1857,8.4e+09,0
1858,1.2e+11,0
1859,9.1e+10,0
1860,9e+10,NA
1861,1.8e+11,0
1862,6e+10,0
1863,5.3e+11,0
1864,1.2e+11,0
1865,3.3e+11,0
1866,1.2e+12,0
1867,3.6e+11,0
1868,1.5e+10,0
1869,6.8e+10,0
1870,1e+11,0
1871,1e+11,0
1872,4.2e+10,0
1873,3.8e+11,0
1874,9.7e+10,0
1875,8.3e+10,0
1876,2.4e+11,0
1877,1.3e+11,0
1878,1.4e+11,0
1879,8.4e+10,NA
1880,1.6e+11,0
1881,8.9e+10,0
1882,4.8e+11,0
1883,3e+11,0
1884,-1,0
1885,1.7e+11,NA
1886,9.6e+10,0
1887,7.1e+11,0
1888,1.2e+12,NA
1889,1.6e+10,NA
1890,1e+11,0
1891,9.6e+11,0
1892,1.4e+11,NA
1893,8.4e+11,0
1894,1.1e+11,NA
1895,1.9e+11,0
1896,1.7e+12,NA
1897,1.3e+11,0
1898,-1,0
1899,9.4e+10,0
1900,1e+11,0
1901,6.6e+10,0
1902,1.4e+10,0
1903,8e+11,0
1904,4.4e+09,NA
1905,1e+11,NA
1906,1.6e+11,0
1907,1.3e+12,0
1908,8.3e+10,0
1909,-1,0
1910,5.5e+10,0
1911,2.9e+11,0
1912,2.8e+11,0
1913,1.4e+11,0
1914,1.2e+09,0
1915,-1,NA
1916,-1,NA
1917,2.8e+11,0
1918,4.6e+10,0
1919,7.5e+11,NA
1920,1.1e+11,0
1921,3.6e+11,NA
1922,8.7e+10,0
1923,3e+11,0
1924,9.8e+10,0
1925,7.4e+10,0
1926,1.5e+11,0
1927,7.2e+10,NA
1928,1.8e+11,0
1929,9e+10,NA
1930,9.1e+11,0
1931,5.5e+11,NA
1932,1e+12,0
1933,5.8e+11,0
1934,7.6e+10,NA
1935,5.5e+11,NA
1936,1.9e+11,NA
1937,4.2e+10,0
1938,3.3e+11,0
1939,3e+11,0
1940,9.8e+10,0
1941,1.2e+11,0
1942,1.5e+09,0
1943,3.5e+10,0
1944,5.6e+09,NA
1945,1e+11,0
1946,9.5e+10,0
1947,1.8e+11,0
1948,-1,0
1949,3e+11,0
1950,1.1e+11,0
1951,1.2e+11,0
1952,-1,0
1953,9.7e+10,0
1954,-1,0
1955,8.7e+10,0
1956,0,NA
1957,3e+11,NA
1958,2.9e+08,0
1959,-1,0
1960,9e+11,0
1961,1.4e+11,NA
1962,6.3e+11,0
1963,8.2e+10,0
1964,6.2e+11,0
1965,3.8e+11,0
1966,4e+11,0
1967,1.1e+11,NA
1968,1e+12,0
1969,4.3e+11,0
1970,1.6e+11,0
1971,1.3e+11,0
1972,8.7e+10,0
1973,1.2e+11,NA
1974,1.1e+11,0
1975,1.5e+11,0
1976,1.3e+11,0
1977,5.5e+11,0
1978,7.4e+10,0
1979,2.4e+11,0
1980,1.3e+12,NA
1981,7.2e+11,0
1982,-1,0
1983,2e+11,NA
1984,8.4e+11,0
1985,4.1e+11,NA
1986,1.8e+11,NA
1987,4.3e+10,0
1988,1.2e+11,0
1989,3.9e+11,NA
1990,4.1e+11,NA
1991,-1,0
1992,-1,0
1993,6.7e+09,0
1994,3.5e+11,0
1995,1.5e+11,NA
1996,1.7e+11,0
1997,1.2e+11,0
1998,1.4e+12,0
1999,-1,0
2000,1e+12,0
2001,1.1e+11,0
2002,8.4e+10,0
2003,1.2e+12,NA
2004,9e+10,0
2005,4.9e+10,NA
2006,7.4e+10,0
2007,5.5e+10,NA
2008,1.6e+12,0
2009,9.4e+10,0
2010,-1,0
2011,1.8e+11,0
2012,1.2e+11,0
2013,4.6e+11,0
2014,-1,0
2015,2.1e+09,0
2016,1e+11,0
2017,1.7e+11,NA
2018,8.9e+09,0
2019,5.4e+11,0
2020,1.9e+11,0
2021,2.9e+11,0
2022,3.2e+11,0
2023,1.3e+12,NA
2024,1.4e+10,0
2025,9.1e+10,0
2026,9.2e+10,0
2027,8.5e+10,0
2028,7.7e+10,NA
2029,-1,0
2030,1.5e+11,0
2031,1e+11,0
2032,1.7e+11,0
2033,1.3e+11,0
2034,6.6e+10,NA
2035,8.6e+10,NA
2036,1.6e+11,0
2037,9.8e+10,0
2038,1.1e+12,NA
2039,1.7e+11,0
2040,3.6e+10,0
2041,4.3e+11,0
2042,1e+11,0
2043,1e+11,NA
2044,4.9e+09,0
2045,6.9e+08,0
2046,4.6e+10,0
2047,8.6e+10,0
2048,5.9e+10,0
2049,1.5e+09,0
2050,9.1e+11,0
2051,-1,0
2052,1.2e+12,0
2053,6.9e+09,NA
2054,7.8e+10,0
2055,4.9e+09,0
2056,1.2e+11,0
2057,1.1e+11,0
2058,8.4e+10,0
2059,8.3e+10,0
2060,1.3e+11,NA
2061,5e+10,0
2062,-1,0
2063,6.4e+10,0
2064,2.7e+11,0
2065,1.2e+11,0
2066,4.3e+11,0
2067,1.1e+11,0
2068,1.4e+11,0
2069,1.5e+09,0
2070,1.1e+12,0
2071,1.5e+11,0
2072,3.1e+11,NA
2073,6.8e+10,0
2074,1.7e+11,0
2075,-1,0
2076,1.3e+11,0
2077,2e+11,0
2078,1.4e+09,0
2079,8.7e+10,0
2080,1.5e+11,0
2081,2.1e+11,NA
2082,8.5e+10,0
2083,9.2e+10,0
2084,-1,0
2085,1.3e+11,0
2086,1.5e+11,NA
2087,1.4e+11,0
2088,1.1e+12,0
2089,1.9e+11,0
2090,1.3e+11,0
2091,5.2e+11,0
2092,2.6e+11,0
2093,5.4e+10,NA
2094,1.7e+11,0
2095,1.2e+11,0
2096,1.6e+11,0
2097,2.2e+11,0
2098,1.5e+11,0
2099,1.2e+11,0
2100,2.5e+10,0
2101,1.1e+11,0
2102,4e+11,0
2103,5.4e+10,0
2104,1.4e+11,0
2105,9e+11,0
2106,6.4e+11,0
2107,3.2e+11,0
2108,1.1e+11,0
2109,2.6e+10,0
2110,4.7e+11,0
2111,-1,NA
2112,1.1e+11,0
2113,7.6e+10,NA
2114,1.5e+11,0
2115,1.6e+11,0
2116,2.4e+11,1
2117,1.4e+11,NA
2118,1.4e+11,1
2119,4.6e+11,1
2120,1e+11,1
2121,2.8e+11,1
2122,6e+10,1
2123,8.1e+10,1
2124,6.3e+10,1
2125,1.2e+11,1
2126,1.3e+11,1
2127,8.1e+10,1
2128,3.6e+11,1
2129,1.7e+10,1
2130,9.1e+10,1
2131,-1,1
2132,1.2e+11,NA
2133,5.1e+10,1
2134,6.9e+10,0
2135,4.2e+11,0
2136,6.8e+10,0
2137,1.2e+11,0
2138,2e+09,0
2139,1.1e+12,0
2140,8.7e+11,0
2141,1.4e+11,0
2142,1.9e+11,0
2143,1.2e+11,NA
2144,7.8e+10,0
2145,1e+11,0
2146,1.2e+11,0
2147,1.3e+11,0
2148,4.5e+11,0
2149,1.5e+11,0
2150,7.1e+10,0
2151,1.3e+11,NA
2152,1.3e+11,NA
2153,5.4e+10,0
2154,1e+12,NA
2155,1e+11,NA
2156,1.3e+11,NA
2157,1.1e+12,0
2158,1.1e+12,0
2159,1.9e+11,0
2160,1.1e+12,NA
2161,9e+10,0
2162,5.8e+08,0
2163,1.9e+11,NA
2164,2.9e+10,NA
2165,9.4e+10,0
2166,1e+11,NA
2167,1.1e+11,NA
2168,4.1e+09,0
2169,2.2e+11,0
2170,1.4e+11,0
2171,1.1e+11,0
2172,4.4e+10,0
2173,-1,0
2174,2.4e+10,0
2175,3.3e+11,NA
2176,3.7e+11,NA
2177,1.4e+10,0
2178,1.1e+11,0
2179,1.9e+10,0
2180,1.3e+11,0
2181,4.6e+11,0
2182,8.9e+10,NA
2183,1.1e+12,0
2184,4.1e+09,0
2185,1.2e+09,0
2186,7e+09,0
2187,1e+09,0
2188,9e+10,0
2189,1.8e+11,0
2190,5.4e+10,0
2191,2.3e+10,0
2192,1.2e+12,0
2193,4.6e+10,0
2194,1e+12,0
2195,1.4e+11,0
2196,1e+11,NA
2197,1.7e+11,0
2198,7.9e+10,0
2199,1.5e+10,0
2200,1.3e+11,0
2201,1e+11,0
2202,1.2e+11,0
2203,3.4e+11,NA
2204,1.4e+11,0
2205,-1,0
2206,1e+11,NA
2207,-1,NA
2208,7.2e+11,0
2209,5.2e+10,0
2210,9.6e+11,0
2211,1e+11,0
2212,1.2e+09,0
2213,-1,0
2214,1.4e+11,0
2215,2e+11,0
2216,2e+12,0
2217,5.3e+09,0
2218,1e+11,0
2219,5.3e+10,0
2220,1.4e+11,0
2221,1e+11,0
2222,5.8e+10,0
2223,9.9e+10,0
2224,6.2e+11,0
2225,3.5e+10,NA
2226,9.7e+10,0
2227,1.3e+11,0
2228,7.1e+09,NA
2229,5e+10,NA
2230,3.1e+11,0
2231,4.5e+10,0
2232,1.2e+11,NA
2233,2e+11,0
2234,9.1e+10,NA
2235,1.4e+11,0
2236,2e+11,0
2237,6.1e+11,0
2238,1.3e+11,0
2239,1.7e+11,0
2240,1.4e+11,0
2241,1.5e+11,0
2242,2.9e+11,NA
2243,8.1e+10,NA
2244,8.2e+09,0
2245,2.4e+11,0
2246,8.4e+11,0
2247,7.9e+10,NA
2248,8.7e+10,0
2249,6e+11,0
2250,8.3e+10,0
2251,1.3e+11,0
2252,1.2e+11,NA
2253,9.3e+11,0
2254,1.9e+11,0
2255,8e+11,NA
2256,9.6e+10,0
2257,8.4e+10,NA
2258,1.3e+11,0
2259,1.2e+11,0
2260,8.5e+10,NA
2261,2.2e+11,0
2262,1.6e+11,0
2263,1e+11,0
2264,4.2e+09,0
2265,3.1e+11,0
2266,8e+10,0
2267,7.8e+10,0
2268,3.9e+11,NA
2269,1.6e+10,0
2270,6.2e+10,0
2271,2e+11,0
2272,9.8e+10,0
2273,3.4e+11,0
2274,1.2e+09,NA
2275,5e+10,0
2276,4.9e+11,0
2277,1.2e+11,NA
2278,2.3e+11,0
2279,1.1e+11,0
2280,9.1e+11,NA
2281,1.5e+10,0
2282,1.2e+11,0
2283,8.9e+10,0
2284,2.3e+09,0
2285,4e+11,0
2286,9.2e+09,0
2287,9.4e+10,0
2288,1.2e+11,0
2289,1.8e+12,0
2290,5.2e+10,0
2291,5.6e+10,0
2292,9.8e+10,0
2293,2.6e+09,0
2294,1e+11,0
2295,8.8e+10,0
2296,3.6e+11,0
2297,5.3e+11,NA
2298,5e+10,NA
2299,3e+11,0
2300,1e+11,0
2301,5.8e+11,0
2302,2.7e+11,0
2303,1.3e+11,NA
2304,9.1e+10,NA
2305,2.1e+11,0
2306,6.1e+10,0
2307,5.2e+11,0
2308,1.5e+11,0
2309,1.5e+11,NA
2310,1e+12,0
2311,1.2e+11,0
2312,6.4e+10,0
2313,1.1e+12,0
2314,3e+10,0
2315,4.1e+11,0
2316,1.4e+11,0
2317,1.5e+11,0
2318,1.8e+11,0
2319,1.7e+11,0
2320,1.1e+11,0
2321,-1,0
2322,6.7e+10,NA
2323,4.9e+10,0
2324,2.7e+11,0
2325,1e+10,NA
2326,9e+10,0
2327,1.1e+11,NA
2328,9e+11,0
2329,4.6e+10,0
2330,1.5e+11,0
2331,5e+10,0
2332,3e+11,0
2333,1.5e+11,0
2334,8.9e+09,0
2335,1.2e+12,NA
2336,-1,0
2337,1.1e+10,0
2338,1.9e+10,NA
2339,9.4e+09,0
2340,5.3e+10,NA
2341,1.1e+11,0
2342,3e+11,0
2343,-1,0
2344,1.2e+12,0
2345,4.8e+11,0
2346,1.4e+11,0
2347,-1,0
2348,2.6e+10,0
2349,-1,0
2350,1.9e+11,0
2351,8.5e+10,0
2352,2e+11,0
2353,7.8e+10,0
2354,1.5e+11,0
2355,9.7e+10,0
2356,1.1e+11,0
2357,1.2e+11,0
2358,9.3e+11,0
2359,9.5e+11,NA
2360,1.3e+12,NA
2361,6.7e+10,0
2362,-1,0
2363,8.1e+10,0
2364,1.3e+10,0
2365,1.4e+11,0
2366,1.3e+12,0
2367,1.2e+11,0
2368,8.1e+10,NA
2369,6.8e+10,0
2370,1.3e+11,0
2371,3e+11,0
2372,-1,0
2373,7.8e+10,0
2374,3.8e+09,0
2375,7.4e+10,0
2376,6e+11,0
2377,1.3e+11,0
2378,9.5e+10,0
2379,1.4e+11,NA
2380,1e+11,0
2381,6.4e+10,0
2382,6.4e+10,0
2383,5.3e+11,NA
2384,1.1e+12,0
2385,8e+10,0
2386,8.5e+11,NA
2387,1.4e+11,0
2388,-1,0
2389,1.1e+09,0
2390,5.3e+10,0
2391,2e+11,0
2392,5.4e+10,0
2393,4.5e+10,NA
2394,3.9e+09,0
2395,5.5e+10,0
2396,5.4e+10,0
2397,6.8e+10,0
2398,2.4e+11,0
2399,2.4e+11,NA
2400,1.4e+11,0
2401,1.1e+11,0
2402,1.2e+11,0
2403,4e+11,0
2404,1.3e+11,0
2405,5.8e+10,0
2406,1.5e+09,0
2407,1.4e+11,NA
2408,7.9e+10,NA
2409,1.9e+11,0
2410,9.5e+10,0
2411,3.7e+11,0
2412,3.9e+11,0
2413,1e+11,0
2414,9.9e+10,0
2415,8.1e+10,0
2416,2.6e+11,0
2417,7.4e+10,0
2418,-1,0
2419,9.4e+10,0
2420,2e+11,0
2421,1.6e+09,0
2422,1.1e+11,0
2423,2.1e+11,0
2424,2.3e+09,0
2425,1.4e+11,NA
2426,7.5e+10,0
2427,-1,0
2428,8.6e+10,0
2429,9.6e+10,0
2430,1.4e+11,0
2431,1.2e+11,0
2432,4.7e+10,NA
2433,7.8e+10,0
2434,-1,0
2435,1e+11,0
2436,1.8e+11,0
2437,0,NA
2438,-1,NA
2439,3.1e+11,0
2440,5.6e+11,0
2441,6.8e+10,0
2442,8.2e+10,0
2443,6.3e+11,0
2444,9.5e+10,0
2445,8.1e+10,NA
2446,4.6e+11,0
2447,4.4e+10,NA
2448,8.6e+10,0
2449,3.9e+11,0
2450,1.1e+12,0
2451,4.1e+11,NA
2452,1.4e+11,0
2453,-1,0
2454,1.1e+12,0
2455,4e+11,0
2456,2.4e+11,0
2457,1.3e+11,0
2458,1.5e+11,0
2459,1e+12,NA
2460,1.3e+11,0
2461,-1,0
2462,-1,0
2463,-1,0
2464,1.3e+11,0
2465,6.8e+11,0
2466,7.1e+10,0
2467,9.6e+10,0
2468,1.5e+11,0
2469,3.8e+10,0
2470,6.8e+10,0
2471,1.1e+11,0
2472,1.7e+08,NA
2473,1.9e+11,0
2474,2e+11,0
2475,7.5e+10,NA
2476,2e+11,NA
2477,1.3e+11,0
