,SOP_NI_Variance,Reseller
1857,10,0
1858,290,0
1859,647,0
1860,93,NA
1861,74,0
1862,16,0
1863,29,0
1864,1249,0
1865,2.7,0
1866,0.16,0
1867,11,0
1868,0.62,0
1869,4.1,0
1870,96,0
1871,24,0
1872,12,0
1873,2,0
1874,59,0
1875,7.1,0
1876,8082,0
1877,10,0
1878,828,0
1879,5.1,NA
1880,331,0
1881,22835,0
1882,180,0
1883,1.8,0
1884,-1,0
1885,9.5,NA
1886,1335,0
1887,107,0
1888,0,NA
1889,0.24,NA
1890,420,0
1891,0.19,0
1892,828,NA
1893,34,0
1894,6872,NA
1895,212,0
1896,0,NA
1897,29,0
1898,-1,0
1899,92,0
1900,18,0
1901,1261,0
1902,0.97,0
1903,30,0
1904,1.8,NA
1905,271,NA
1906,311,0
1907,0.28,0
1908,335,0
1909,-1,0
1910,0.57,0
1911,56,0
1912,0.99,0
1913,4.8,0
1914,0.33,0
1915,-1,NA
1916,-1,NA
1917,162,0
1918,0.82,0
1919,4.3,NA
1920,11,0
1921,3.8,NA
1922,1.5,0
1923,1.6,0
1924,155,0
1925,17,0
1926,3481,0
1927,212,NA
1928,0,0
1929,686,NA
1930,10,0
1931,384,NA
1932,0.44,0
1933,99,0
1934,4.4,NA
1935,0.33,NA
1936,0.25,NA
1937,12,0
1938,964,0
1939,3.3,0
1940,18,0
1941,803,0
1942,2.3,0
1943,6165,0
1944,1.3,NA
1945,41,0
1946,376,0
1947,1.2,0
1948,-1,0
1949,45,0
1950,0.79,0
1951,5.6,0
1952,-1,0
1953,25482,0
1954,-1,0
1955,21,0
1956,0.14,NA
1957,45,NA
1958,0,0
1959,-1,0
1960,2.6,0
1961,162,NA
1962,9.5,0
1963,128,0
1964,19,0
1965,2.8,0
1966,4.8,0
1967,1.5,NA
1968,0.24,0
1969,264,0
1970,83,0
1971,2875,0
1972,7,0
1973,0.53,NA
1974,82,0
1975,0.37,0
1976,1.6,0
1977,0.54,0
1978,860,0
1979,4.2,0
1980,1.2,NA
1981,27,0
1982,-1,0
1983,1072,NA
1984,0.7,0
1985,0.032,NA
1986,0.27,NA
1987,16,0
1988,0.55,0
1989,62490,NA
1990,0.5,NA
1991,-1,0
1992,-1,0
1993,15,0
1994,0.018,0
1995,0.46,NA
1996,63,0
1997,3.2,0
1998,0,0
1999,-1,0
2000,1.4,0
2001,0.73,0
2002,0.19,0
2003,0.25,NA
2004,4.6,0
2005,0,NA
2006,17,0
2007,2.5,NA
2008,0.14,0
2009,9.8,0
2010,-1,0
2011,21,0
2012,0.7,0
2013,1.4,0
2014,-1,0
2015,0.8,0
2016,0.19,0
2017,4,NA
2018,1.1,0
2019,92,0
2020,1.5,0
2021,299,0
2022,115,0
2023,0.2,NA
2024,5,0
2025,3.8,0
2026,75,0
2027,223,0
2028,389,NA
2029,-1,0
2030,26,0
2031,271,0
2032,56,0
2033,33,0
2034,8.1,NA
2035,4.9,NA
2036,78,0
2037,0.89,0
2038,9.7,NA
2039,25,0
2040,3.9,0
2041,351,0
2042,5.5,0
2043,12,NA
2044,0,0
2045,0.14,0
2046,0.82,0
2047,18,0
2048,29,0
2049,12,0
2050,5.7,0
2051,-1,0
2052,0,0
2053,0,NA
2054,2.2,0
2055,0,0
2056,566,0
2057,1663,0
2058,14,0
2059,66,0
2060,36,NA
2061,11,0
2062,-1,0
2063,209,0
2064,3.6,0
2065,499,0
2066,351,0
2067,27,0
2068,108,0
2069,75,0
2070,0,0
2071,2.3,0
2072,140,NA
2073,644,0
2074,1.3,0
2075,-1,0
2076,0.12,0
2077,10067,0
2078,0.62,0
2079,18,0
2080,0,0
2081,1.3,NA
2082,6.7,0
2083,0.35,0
2084,-1,0
2085,946,0
2086,0.46,NA
2087,28,0
2088,16,0
2089,38,0
2090,30,0
2091,240,0
2092,11,0
2093,15,NA
2094,476,0
2095,0.048,0
2096,29,0
2097,48,0
2098,89,0
2099,35413,0
2100,32,0
2101,2.8,0
2102,2.6,0
2103,31,0
2104,185,0
2105,2.6,0
2106,214,0
2107,141,0
2108,7.8,0
2109,0,0
2110,7.5,0
2111,-1,NA
2112,31,0
2113,489,NA
2114,386,0
2115,53,0
2116,4.2,1
2117,11,NA
2118,50,1
2119,4.3,1
2120,315,1
2121,0.99,1
2122,3.5,1
2123,8.2,1
2124,35,1
2125,60,1
2126,2.6,1
2127,33,1
2128,44,1
2129,3.6,1
2130,190,1
2131,-1,1
2132,59097,NA
2133,158,1
2134,51,0
2135,21,0
2136,6.1,0
2137,35413,0
2138,35,0
2139,9.7,0
2140,82,0
2141,162,0
2142,3.7,0
2143,797,NA
2144,36828,0
2145,24,0
2146,16,0
2147,0.12,0
2148,15069,0
2149,0,0
2150,69,0
2151,0.64,NA
2152,0.67,NA
2153,0,0
2154,2.9,NA
2155,41,NA
2156,7514,NA
2157,47,0
2158,0.27,0
2159,38,0
2160,2.5,NA
2161,6946,0
2162,0,0
2163,262,NA
2164,0.33,NA
2165,63,0
2166,61,NA
2167,91,NA
2168,0,0
2169,11,0
2170,40,0
2171,0.17,0
2172,0.33,0
2173,-1,0
2174,0,0
2175,62,NA
2176,0.53,NA
2177,0,0
2178,870,0
2179,16,0
2180,429,0
2181,1.4,0
2182,6.1,NA
2183,1.4,0
2184,0,0
2185,24,0
2186,0,0
2187,0.27,0
2188,38,0
2189,468,0
2190,0.2,0
2191,0,0
2192,0.083,0
2193,3.4,0
2194,0.44,0
2195,32,0
2196,855,NA
2197,1.2,0
2198,32,0
2199,40,0
2200,244,0
2201,7.8,0
2202,4.1,0
2203,1.6,NA
2204,2.2,0
2205,-1,0
2206,31,NA
2207,-1,NA
2208,0.24,0
2209,18,0
2210,0.19,0
2211,96,0
2212,24,0
2213,-1,0
2214,2.3,0
2215,16,0
2216,0.14,0
2217,0,0
2218,271,0
2219,5.7,0
2220,185,0
2221,50,0
2222,0,0
2223,268,0
2224,19,0
2225,131,NA
2226,64,0
2227,280,0
2228,1950,NA
2229,0.94,NA
2230,3585,0
2231,645,0
2232,15,NA
2233,170,0
2234,190,NA
2235,3.2,0
2236,24,0
2237,1.8,0
2238,279,0
2239,1.3,0
2240,21,0
2241,0.37,0
2242,284,NA
2243,8.6,NA
2244,1.6,0
2245,8082,0
2246,5589,0
2247,58,NA
2248,1137,0
2249,7.5,0
2250,65,0
2251,56,0
2252,5.6,NA
2253,7.7,0
2254,0.46,0
2255,1,NA
2256,1335,0
2257,1.9,NA
2258,74,0
2259,150,0
2260,1.4,NA
2261,74,0
2262,786,0
2263,286,0
2264,0,0
2265,1474,0
2266,71,0
2267,35,0
2268,15,NA
2269,0.62,0
2270,29,0
2271,4.2,0
2272,12,0
2273,25,0
2274,0.33,NA
2275,850,0
2276,36,0
2277,187,NA
2278,33,0
2279,2.8,0
2280,22,NA
2281,0.18,0
2282,0.048,0
2283,2,0
2284,0,0
2285,180,0
2286,0.5,0
2287,1.8,0
2288,34,0
2289,0,0
2290,10,0
2291,0,0
2292,111,0
2293,0.57,0
2294,42,0
2295,144,0
2296,2653,0
2297,21,NA
2298,11,NA
2299,0.71,0
2300,286,0
2301,5.8,0
2302,0,0
2303,5.7,NA
2304,2.6,NA
2305,22160,0
2306,49,0
2307,240,0
2308,0.37,0
2309,136,NA
2310,188,0
2311,499,0
2312,0.24,0
2313,39,0
2314,0,0
2315,0.5,0
2316,32,0
2317,386,0
2318,20,0
2319,4.6,0
2320,46,0
2321,-1,0
2322,1.1,NA
2323,0.63,0
2324,215,0
2325,0,NA
2326,59,0
2327,190,NA
2328,58,0
2329,3.4,0
2330,306,0
2331,2.9,0
2332,1.6,0
2333,7599,0
2334,0,0
2335,0,NA
2336,-1,0
2337,5.9,0
2338,1.3,NA
2339,6,0
2340,3.9,NA
2341,53,0
2342,0,0
2343,-1,0
2344,6.9,0
2345,180,0
2346,121,0
2347,-1,0
2348,0.3,0
2349,-1,0
2350,38,0
2351,323,0
2352,508,0
2353,36828,0
2354,0.62,0
2355,3.6,0
2356,46,0
2357,287,0
2358,0.31,0
2359,0,NA
2360,0.1,NA
2361,1.1,0
2362,-1,0
2363,2606,0
2364,0,0
2365,28,0
2366,0.38,0
2367,265,0
2368,173,NA
2369,52,0
2370,1220,0
2371,6270,0
2372,-1,0
2373,16,0
2374,0,0
2375,17,0
2376,7.5,0
2377,13276,0
2378,51,0
2379,12,NA
2380,12,0
2381,0.24,0
2382,164,0
2383,5,NA
2384,0.25,0
2385,790,0
2386,2.6,NA
2387,1.1,0
2388,-1,0
2389,0,0
2390,5.2,0
2391,24,0
2392,0.2,0
2393,0,NA
2394,0.5,0
2395,4.7,0
2396,5.4,0
2397,4.1,0
2398,2.2,0
2399,2.7,NA
2400,3.2,0
2401,1384,0
2402,0.21,0
2403,20,0
2404,1.6,0
2405,27,0
2406,12,0
2407,160,NA
2408,2.6,NA
2409,330,0
2410,81,0
2411,1.1,0
2412,0.33,0
2413,42,0
2414,30,0
2415,7,0
2416,124,0
2417,95,0
2418,-1,0
2419,12,0
2420,26528,0
2421,0,0
2422,35,0
2423,0.87,0
2424,0.28,0
2425,2.6,NA
2426,2.6,0
2427,-1,0
2428,4.9,0
2429,15,0
2430,21,0
2431,105,0
2432,2,NA
2433,16,0
2434,-1,0
2435,31,0
2436,9.4,0
2437,0,NA
2438,-1,NA
2439,19,0
2440,0.27,0
2441,197,0
2442,128,0
2443,9.5,0
2444,11,0
2445,0,NA
2446,1.4,0
2447,69,NA
2448,516,0
2449,62490,0
2450,22,0
2451,0.33,NA
2452,2297,0
2453,-1,0
2454,0.5,0
2455,2.6,0
2456,0,0
2457,36,0
2458,111,0
2459,0.27,NA
2460,280,0
2461,-1,0
2462,-1,0
2463,-1,0
2464,42,0
2465,0.48,0
2466,69,0
2467,34,0
2468,140,0
2469,4.5,0
2470,15,0
2471,0.17,0
2472,0,NA
2473,212,0
2474,4.2,0
2475,475,NA
2476,8.3,NA
2477,112,0
2478,1592,0
2479,1694,NA
2480,9.8,0
2481,220,0
2482,1373,0
2483,275,0
2484,0,NA
2485,9.1,0
2486,94,NA
2487,33,0
2488,69,0
2489,964,0
2490,24,0
2491,12,0
2492,0.35,0
2493,477,NA
2494,15069,0
2495,-1,NA
2496,434,0
2497,170,0
2498,14,0
2499,16,0
2500,3.8,0
2501,0.3,0
2502,3.4,0
2503,0.071,0
2504,0.25,0
2505,0.57,0
2506,2.3,0
2507,2.7,0
2508,115,0
2509,-1,NA
2510,-1,0
2511,10,0
2512,2.1,0
2513,0.33,0
2514,5.5,0
2515,1470,0
2516,1.2,0
2517,18,0
2518,63,0
2519,2139,NA
2520,7.4,0
2521,118,NA
2522,1.4,0
2523,477,0
2524,97,0
2525,35,0
2526,292,0
2527,1302,NA
2528,-1,NA
2529,28,0
2530,1.5,0
2531,0,0
2532,0,NA
2533,0.2,0
2534,344,NA
2535,1123,0
2536,2030,0
2537,2.9,NA
2538,1.9,0
2539,0,0
2540,23,0
2541,12,0
2542,1625,0
2543,28,0
2544,8.6,0
2545,22,0
2546,2.5,0
2547,5.5,0
2548,1.5,0
2549,93,0
2550,25,NA
2551,3.5,0
2552,0.53,0
2553,0.21,0
2554,3.6,0
2555,14,0
2556,-1,0
2557,18,0
2558,-1,0
2559,2503,NA
2560,0.11,0
